dataset	display_name	readout	value
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Gfap qPCR	0.998
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Gfap qPCR	0.84
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Gfap qPCR	0.998
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Gfap qPCR	0.551
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Gfap qPCR	1.089
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Gfap qPCR	1.099
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Gfap qPCR	0.072
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Gfap qPCR	1.003
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Gfap qPCR	1.12
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Gfap qPCR	1.08
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Gfap qPCR	0.862
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Gfap qPCR	1.043
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Gfap qPCR	1.22
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Gfap qPCR	0.869
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Cd68 qPCR	0.992661017
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Cd68 qPCR	1.113002437
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Cd68 qPCR	1.21697289
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Cd68 qPCR	1.668211548
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Cd68 qPCR	1.630721461
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Cd68 qPCR	1.153151923
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Cd68 qPCR	1.409658545
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Cd68 qPCR	1.18763764
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Cd68 qPCR	1.256293243
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Cd68 qPCR	1.403105245
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Cd68 qPCR	1.347699076
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Cd68 qPCR	1.007660459
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Cd68 qPCR	1.478586889
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Cd68 qPCR	1.340362245
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Cd68 qPCR	1.290127842
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Cd68 qPCR	2.204293708
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Cd68 qPCR	1.184073745
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Cd68 qPCR	1.124012745
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Cd68 qPCR	1.170067415
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Cd68 qPCR	1.25382877
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Cd68 qPCR	1.444685307
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Cd68 qPCR	1.394738085
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Cd68 qPCR	1.345218168
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Cd68 qPCR	1.733292005
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Cd68 qPCR	0.8894056836
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Cd68 qPCR	1.232243397
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Cd68 qPCR	1.651919828
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Cd68 qPCR	1.006587022
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Cd68 qPCR	0.8701234644
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Cd68 qPCR	1.488141273
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Cd68 qPCR	1.267918433
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Cd68 qPCR	1.922322421
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Cd68 qPCR	1.567690056
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Cd68 qPCR	0.9111564876
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Cd68 qPCR	1.180030499
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Cd68 qPCR	1.481403259
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Cd68 qPCR	0.9510567978
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Cd68 qPCR	1.299433256
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Cd68 qPCR	1.453450099
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Cd68 qPCR	1.26016321
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Cd68 qPCR	1.46748654
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Cd68 qPCR	1.220223461
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Cd68 qPCR	1.301319414
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Cd68 qPCR	1.220595584
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Cd68 qPCR	1.364720521
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Cd68 qPCR	1.203283417
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Cd68 qPCR	1.234290475
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Cd68 qPCR	1.223994062
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Cd68 qPCR	1.41654929
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Cd68 qPCR	1.498917251
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Cd68 qPCR	0.9895449474
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Cd68 qPCR	0.7032957387
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Cd68 qPCR	1.671465664
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Cd68 qPCR	1.75676365
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Cd68 qPCR	1.113931651
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Cd68 qPCR	1.409810314
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Cd68 qPCR	1.528815916
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Cd68 qPCR	1.173940571
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Cd68 qPCR	1.220531834
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Cd68 qPCR	1.341701564
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Cd68 qPCR	1.344140418
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Cd68 qPCR	1.479009603
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Cd68 qPCR	1.379614966
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Cd68 qPCR	1.327549926
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Cd68 qPCR	1.054060181
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Cd68 qPCR	2.307792771
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Cd68 qPCR	1.767663082
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Cd68 qPCR	1.06810378
Mouse 500 µg 1x 1wk	ASO 4	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Acute FOB Score	3
Mouse 500 µg 1x 1wk	ASO 1	Acute FOB Score	3
Mouse 500 µg 1x 1wk	ASO 1	Acute FOB Score	2
Mouse 500 µg 1x 1wk	ASO 1	Acute FOB Score	4
Mouse 500 µg 1x 1wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Acute FOB Score	2
Mouse 500 µg 1x 1wk	ASO 6	Acute FOB Score	6
Mouse 500 µg 1x 1wk	ASO 6	Acute FOB Score	5
Mouse 500 µg 1x 1wk	ASO 6	Acute FOB Score	5
Mouse 500 µg 1x 1wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Acute FOB Score	1
Mouse 500 µg 1x 1wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 3	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 2	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Acute FOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Iba1 IHC Score	2
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 5	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Acute FOB Score	1
Mouse 500 µg 1x 1wk	ASO 7	Acute FOB Score	2
Mouse 500 µg 1x 1wk	ASO 7	Acute FOB Score	1
Mouse 500 µg 1x 1wk	ASO 7	Acute FOB Score	5
Mouse 500 µg 1x 1wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 7	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 7	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Iba1 IHC Score	2
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 7	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Acute FOB Score	6
Mouse 500 µg 1x 1wk	ASO 8	Acute FOB Score	6
Mouse 500 µg 1x 1wk	ASO 8	Acute FOB Score	7
Mouse 500 µg 1x 1wk	ASO 8	Acute FOB Score	6
Mouse 500 µg 1x 1wk	ASO 8	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 8	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 8	Max dFOB Score	0
Mouse 500 µg 1x 1wk	ASO 8	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Brain Iba1 IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Iba1 IHC Score	1
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 1x 1wk	ASO 8	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Acute FOB Score After 3rd ICV	0
Mouse 500 µg 3x 10wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 4	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 4	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 1st ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 1st ICV	2
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 1st ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 1st ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 1	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 1	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 1	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 1	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 1st ICV	2
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 1st ICV	3
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 1st ICV	2
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 1st ICV	3
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 2nd ICV	3
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 2nd ICV	2
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 2nd ICV	1
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 3rd ICV	1
Mouse 500 µg 3x 10wk	ASO 6	Acute FOB Score After 3rd ICV	2
Mouse 500 µg 3x 10wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 6	Max dFOB Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 6	Cord Iba1 IHC Score	1
Mouse 500 µg 3x 10wk	ASO 6	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cord Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Brain Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Iba1 IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 6	Cerebellum Calbindin IHC Score	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 1st ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 2nd ICV	0
Mouse 500 µg 3x 10wk	ASO 3	Acute FOB Score After 3rd ICV	0
