set_name	direction	n_input	n_input_in_universe	n_signature	n_overlap	expected	log2_fold_enrich	pval
Fazal 2019 nucleolus	up	932	899	44	1	2.3328615239443264	-0.9172975808390069	0.909292123293103
Fazal 2019 nucleolus	down	932	899	21	0	1.1134111818825194	-1.6901141597991083	1
Engel 2022 nucleolus	up	499	463	44	3	1.2014626091059213	1.0405794746924926	0.11816366767661372
Engel 2022 nucleolus	down	499	463	21	0	0.5734253361641897	-1.1022218456989772	1
