inoculum	x	dose	color	n	mean	sd	l95	u95	pval	diff
CBH	1	0	#23CDBE	12	0.9983333333333333	0.11126000125286661	0.9353832182378129	1.0612834484288538	0.9852366137750733	-8.974358974359609e-4
RML	1	0	#902323	13	0.9992307692307693	0.12848226456477294	0.9293882980079198	1.0690732404536187	0.9852366137750733	-8.974358974359609e-4
CBH	2	100	#23CDBE	12	0.6841666666666667	0.08511578566691944	0.6360087622639812	0.7323245710693522	1.592658228326407e-11	0.41845238095238096
RML	2	100	#902323	14	0.26571428571428574	0.05473211484680997	0.23704437748681217	0.2943841939417593	1.592658228326407e-11	0.41845238095238096
CBH	3	300	#23CDBE	12	0.43416666666666665	0.0563202423376329	0.40230107528217757	0.4660322580511557	1.3004646618267797e-9	0.2549358974358974
RML	3	300	#902323	13	0.17923076923076922	0.01800996874952798	0.1694406185950043	0.18902091986653413	1.3004646618267797e-9	0.2549358974358974
