dose_ug	n	median_survival_dpi	mean_survival_dpi	sd_survival_dpi	median_prop_increase_vs_0	pval_vs_0_logrank
0	4	163	156.75	24.088378940891808	0	
10	4	171	169.5	5.744562646538029	0.04907975460122693	0.8859831704147588
30	4	182	184	4.69041575982343	0.1165644171779141	0.006727172585530286
50	4	191	191	0	0.17177914110429437	0.006727172585530286
100	4	220	219.75	9.6393291606141691	0.3496932515337423	0.006727172585530286
300	4	96	96	0	-0.41104294478527603	0.008150971593502702
