treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 2	GFAP	90	95	1	0.6666666666666666
ASO 2	GFAP	90	95	2	0.9166666666666666
ASO 2	GFAP	90	95	3	0.6666666666666666
ASO 2	GFAP	90	95	4	0.6666666666666666
ASO 2	GFAP	123	129	1	1.3333333333333333
ASO 2	GFAP	123	129	2	1
ASO 2	GFAP	123	129	3	1.3333333333333333
ASO 2	GFAP	123	129	4	1.25
ASO 2	Iba1	-14	150	1	0.3333333333333333
ASO 2	Iba1	-14	150	2	0.08333333333333333
ASO 2	Iba1	-14	150	3	0.4166666666666667
ASO 2	Iba1	-14	150	4	
ASO 2	Iba1	30	150	1	0.5833333333333334
ASO 2	Iba1	30	150	2	0.3333333333333333
ASO 2	Iba1	30	150	3	0.4166666666666667
ASO 2	Iba1	30	150	4	0.625
ASO 2	Iba1	60	68	1	0.4166666666666667
ASO 2	Iba1	60	68	2	0.75
ASO 2	Iba1	60	68	3	0.4166666666666667
ASO 2	Iba1	60	68	4	0.75
ASO 2	Iba1	90	95	1	0.5833333333333334
ASO 2	Iba1	90	95	2	0.75
ASO 2	Iba1	90	95	3	1
ASO 2	Iba1	90	95	4	0.8333333333333334
ASO 2	Iba1	123	129	1	1.3333333333333333
ASO 2	Iba1	123	129	2	0.8181818181818182
ASO 2	Iba1	123	129	3	1.1666666666666667
ASO 2	Iba1	123	129	4	1.1818181818181819
ASO 2	PrP	-14	150	1	0.25
ASO 2	PrP	-14	150	2	0.3333333333333333
ASO 2	PrP	-14	150	3	0.3333333333333333
ASO 2	PrP	-14	150	4	
ASO 2	PrP	30	150	1	0.3333333333333333
ASO 2	PrP	30	150	2	0.3333333333333333
ASO 2	PrP	30	150	3	0.3333333333333333
ASO 2	PrP	30	150	4	0.3333333333333333
ASO 2	PrP	60	68	1	0.08333333333333333
ASO 2	PrP	60	68	2	0.08333333333333333
ASO 2	PrP	60	68	3	0.08333333333333333
ASO 2	PrP	60	68	4	0.08333333333333333
ASO 2	PrP	90	95	1	0.08333333333333333
ASO 2	PrP	90	95	2	0.3333333333333333
ASO 2	PrP	90	95	3	0.25
ASO 2	PrP	90	95	4	0.16666666666666666
ASO 2	PrP	123	129	1	0.75
ASO 2	PrP	123	129	2	0.8
ASO 2	PrP	123	129	3	0.75
ASO 2	PrP	123	129	4	0.9
ASO 3	ASO	-14	150	1	0.15384615384615385
ASO 3	ASO	-14	150	2	0.15384615384615385
ASO 3	ASO	-14	150	3	0.15384615384615385
ASO 3	ASO	-14	150	4	0.15384615384615385
ASO 3	ASO	30	150	1	0.15384615384615385
ASO 3	ASO	30	150	2	0.15384615384615385
ASO 3	ASO	30	150	3	0.15384615384615385
ASO 3	ASO	30	150	4	0.23076923076923078
ASO 3	ASO	60	150	1	0.15384615384615385
ASO 3	ASO	60	150	2	0.15384615384615385
ASO 3	ASO	60	150	3	0.23076923076923078
ASO 3	ASO	60	150	4	0.15384615384615385
ASO 3	ASO	90	150	1	0.23076923076923078
ASO 3	ASO	90	150	2	0.23076923076923078
ASO 3	ASO	90	150	3	0.23076923076923078
ASO 3	ASO	90	150	4	0.23076923076923078
ASO 3	ASO	123	137	1	2.3076923076923075
ASO 3	ASO	123	137	2	1.6923076923076923
ASO 3	ASO	123	137	3	2.6923076923076925
