gene	dpi	dpi_label	log2fc	pval	p_bonf	celltype
1190003K10Rik	28	28 dpi	2.573	0.1467	1	0_none
1190005F20Rik	28	28 dpi	-0.05571	0.7557	1	0_none
1190005I06Rik	28	28 dpi	0.2909	0.4349	1	0_none
1190007F08Rik	28	28 dpi	0.4791	0.0729	1	0_none
1190007I07Rik	28	28 dpi	0.01455	0.965	1	0_none
1200009I06Rik	28	28 dpi	0.3995	0.4488	1	0_none
1200011I18Rik	28	28 dpi	-0.2252	0.1179	1	0_none
1200011M11Rik	28	28 dpi	-0.2368	0.2121	1	0_none
1200014J11Rik	28	28 dpi	-0.1358	0.4353	1	0_none
1200016B10Rik	28	28 dpi	0.0186	0.9466	1	0_none
1300001I01Rik	28	28 dpi	0.006539	0.9649	1	0_none
1300002E11Rik	28	28 dpi	-0.1093	0.6876	1	0_none
1300002K09Rik	28	28 dpi	-0.8243	0.4642	1	0_none
1300010F03Rik	28	28 dpi	-0.1094	0.4777	1	0_none
1300014I06Rik	28	28 dpi	-0.3323	0.2724	1	0_none
1300015D01Rik	28	28 dpi	-0.7288	0.6002	1	0_none
1300017J02Rik	28	28 dpi	-0.8534	0.3783	1	0_none
1300018I17Rik	28	28 dpi	0.15	0.3338	1	0_none
1300018J18Rik	28	28 dpi	-0.03051	0.8768	1	0_none
1500001M20Rik	28	28 dpi	-0.2037	0.45	1	0_none
1500002O10Rik	28	28 dpi	0.1933	0.8169	1	0_none
1500002O20Rik	28	28 dpi	0.3039	0.1102	1	0_none
1500003O03Rik	28	28 dpi	-0.0765	0.6211	1	0_none
1500004A13Rik	28	28 dpi	-0.2336	0.1849	1	0_none
1500009C09Rik	28	28 dpi	0.1097	0.4461	1	0_none
1500009L16Rik	28	28 dpi	-0.059520000000000003	0.8039	1	0_none
1500010J02Rik	28	28 dpi	-0.03413	0.8337	1	0_none
1500011B03Rik	28	28 dpi	0.06387	0.6474	1	0_none
1500011H22Rik	28	28 dpi	-0.04561	0.7679	1	0_none
1500011K16Rik	28	28 dpi	-0.04928	0.8329	1	0_none
1500012F01Rik	28	28 dpi	-0.07185	0.69	1	0_none
1500012K07Rik	28	28 dpi	-0.5637	0.4661	1	0_none
1500015A07Rik	28	28 dpi	0.1526	0.6188	1	0_none
1500015L24Rik	28	28 dpi	0.2762	0.6683	1	0_none
1500015O10Rik	28	28 dpi	1.162	0.1472	1	0_none
1500016L03Rik	28	28 dpi	0.3462	0.663	1	0_none
1500017E21Rik	28	28 dpi	0.02932	0.9545	1	0_none
1500031L02Rik	28	28 dpi	-0.05566	0.7083	1	0_none
1500032L24Rik	28	28 dpi	0.2436	0.113	1	0_none
1520402A15Rik	28	28 dpi	0.1285	0.6058	1	0_none
1600002D24Rik	28	28 dpi	-0.2536	0.8653	1	0_none
1600002H07Rik	28	28 dpi	0.08144	0.7583	1	0_none
1600002K03Rik	28	28 dpi	0.394	0.2554	1	0_none
1600010M07Rik	28	28 dpi	1.784	0.1737	1	0_none
1600012F09Rik	28	28 dpi	-0.09583	0.6302	1	0_none
1600012H06Rik	28	28 dpi	0.0443	0.8176	1	0_none
1600014C10Rik	28	28 dpi	-0.1012	0.5307	1	0_none
1600014C23Rik	28	28 dpi	-0.4403	0.6653	1	0_none
1600014K23Rik	28	28 dpi	2.582	0.1458	1	0_none
1600015I10Rik	28	28 dpi	1.804	0.2842	1	0_none
