gene	dpi	dpi_label	log2fc	pval	p_bonf	celltype
Rtn2	56	56 dpi	-0.3482	0.01107	1	0_none
Rtn3	56	56 dpi	0.1441	0.2001	1	0_none
Rtn4	56	56 dpi	0.2048	0.09163	1	0_none
Rtn4ip1	56	56 dpi	0.00731	0.9606	1	0_none
Rtn4rl1	56	56 dpi	-0.2833	0.009108	1	0_none
Rtp1	56	56 dpi	0.8094	0.1723	1	0_none
Rtp2	56	56 dpi	-0.09336	0.8926	1	0_none
Rtp3	56	56 dpi	0.1644	0.8142	1	0_none
Rtp4	56	56 dpi	0.2547	0.3938	1	0_none
Rttn	56	56 dpi	0.2646	0.2152	1	0_none
Rubie	56	56 dpi	-0.2992	0.8251	1	0_none
Rufy1	56	56 dpi	0.2143	0.06539	1	0_none
Rufy2	56	56 dpi	0.1301	0.2619	1	0_none
Rufy3	56	56 dpi	0.1782	0.09497	1	0_none
Rufy4	56	56 dpi	0.2555	0.8112	1	0_none
Rundc1	56	56 dpi	0.08662	0.4889	1	0_none
Rundc3a	56	56 dpi	-0.388	0.004027	1	0_none
Rundc3b	56	56 dpi	0.2015	0.07932	1	0_none
Runx1t1	56	56 dpi	0.009025	0.9527	1	0_none
Runx2	56	56 dpi	0.1748	0.2294	1	0_none
Runx3	56	56 dpi	1.936	0.2313	1	0_none
Ruvbl1	56	56 dpi	-0.03965	0.7341	1	0_none
Ruvbl2	56	56 dpi	-0.4713	9.522e-4	1	0_none
Rwdd1	56	56 dpi	0.2396	0.05875	1	0_none
Rwdd2a	56	56 dpi	-0.07048	0.6208	1	0_none
Rwdd2b	56	56 dpi	0.05104	0.755	1	0_none
Rwdd3	56	56 dpi	0.2353	0.2371	1	0_none
Rwdd4a	56	56 dpi	0.2447	0.04211	1	0_none
Rxfp1	56	56 dpi	-1.009	0.01121	1	0_none
Rxfp2	56	56 dpi	0.5568	0.2326	1	0_none
Rxfp3	56	56 dpi	-0.4339	0.06717	1	0_none
Rxfp4	56	56 dpi	0	1	1	0_none
Rxra	56	56 dpi	-0.2544	0.06564	1	0_none
Rxrb	56	56 dpi	-0.2676	0.0481	1	0_none
Rxrg	56	56 dpi	-1.924	5.847e-4	1	0_none
Rybp	56	56 dpi	0.1681	0.1736	1	0_none
Ryk	56	56 dpi	0.1503	0.2124	1	0_none
Ryr1	56	56 dpi	-0.4354	4.861e-4	1	0_none
Ryr2	56	56 dpi	0.1815	0.1607	1	0_none
Ryr3	56	56 dpi	0.2507	0.09796	1	0_none
S100a1	56	56 dpi	0.08237	0.4849	1	0_none
S100a10	56	56 dpi	0.05141	0.7811	1	0_none
S100a11	56	56 dpi	0.0598	0.8257	1	0_none
S100a13	56	56 dpi	0.3251	0.03965	1	0_none
S100a14	56	56 dpi	-1.28	0.3215	1	0_none
S100a2	56	56 dpi	0	1	1	0_none
S100a3	56	56 dpi	-0.5718	0.3136	1	0_none
S100a4	56	56 dpi	0.3787	0.2854	1	0_none
S100a5	56	56 dpi	-1.065	0.2411	1	0_none
S100a6	56	56 dpi	-0.1223	0.5861	1	0_none
S100a7a	56	56 dpi	-1.208	0.05393	1	0_none
S100a8	56	56 dpi	-0.5269	0.6029	1	0_none
S100a9	56	56 dpi	-0.9795	0.1365	1	0_none
S100b	56	56 dpi	0.1743	0.1153	1	0_none
S100g	56	56 dpi	0	1	1	0_none
S100pbp	56	56 dpi	0.04247	0.76	1	0_none
S100z	56	56 dpi	0	1	1	0_none
S1pr2	56	56 dpi	-0.1991	0.4772	1	0_none
S1pr3	56	56 dpi	-0.4302	0.007637	1	0_none
S1pr4	56	56 dpi	-0.1925	0.7717	1	0_none
S1pr5	56	56 dpi	0.2256	0.2035	1	0_none
Saa1	56	56 dpi	-0.4038	0.6605	1	0_none
Saa2	56	56 dpi	-0.5982	0.699	1	0_none
Saa3	56	56 dpi	0.1871	0.9081	1	0_none
Saa4	56	56 dpi	0	1	1	0_none
Saal1	56	56 dpi	0.1886	0.2255	1	0_none
Sac3d1	56	56 dpi	-0.1657	0.4409	1	0_none
Sacm1l	56	56 dpi	0.3118	0.005256	1	0_none
Sacs	56	56 dpi	0.3436	0.5998	1	0_none
Sae1	56	56 dpi	0.1359	0.1884	1	0_none
Safb	56	56 dpi	-0.2371	0.0329	1	0_none
Safb2	56	56 dpi	-0.1434	0.1794	1	0_none
Sag	56	56 dpi	-0.2158	0.4914	1	0_none
Sall1	56	56 dpi	-0.2451	0.04063	1	0_none
Sall2	56	56 dpi	-0.1854	0.09539	1	0_none
Sall3	56	56 dpi	-0.285	0.1715	1	0_none
Sall4	56	56 dpi	-0.671	0.2009	1	0_none
Samd1	56	56 dpi	-0.1995	0.1658	1	0_none
Samd10	56	56 dpi	-0.1429	0.4003	1	0_none
Samd11	56	56 dpi	-1.424	7.29e-4	1	0_none
Samd12	56	56 dpi	0.414	0.2013	1	0_none
Samd14	56	56 dpi	-0.5474	0.002675	1	0_none
Samd3	56	56 dpi	0.09747	0.9238	1	0_none
Samd4	56	56 dpi	-0.01384	0.9135	1	0_none
Samd4b	56	56 dpi	-0.2917	0.01189	1	0_none
Samd5	56	56 dpi	-0.02476	0.8931	1	0_none
Samd7	56	56 dpi	-3.711	0.02313	1	0_none
Samd8	56	56 dpi	0.2273	0.03298	1	0_none
Samd9l	56	56 dpi	0.1914	0.6264	1	0_none
Samhd1	56	56 dpi	0.1812	0.165	1	0_none
Samm50	56	56 dpi	-0.08831	0.4029	1	0_none
Samsn1	56	56 dpi	-0.1116	0.743	1	0_none
Samt1	56	56 dpi	0	1	1	0_none
Samt2	56	56 dpi	0	1	1	0_none
Samt3	56	56 dpi	1.936	0.2313	1	0_none
Samt4	56	56 dpi	0	1	1	0_none
Sap130	56	56 dpi	-0.1494	0.1577	1	0_none
Sap18	56	56 dpi	0.1265	0.2444	1	0_none
Sap25	56	56 dpi	-0.1934	0.3117	1	0_none
Sap30	56	56 dpi	0.3429	0.139	1	0_none
Sap30bp	56	56 dpi	-0.04511	0.6886	1	0_none
Sap30l	56	56 dpi	-0.1024	0.4455	1	0_none
Sar1a	56	56 dpi	0.09081	0.3793	1	0_none
Sar1b	56	56 dpi	0.2214	0.04687	1	0_none
Sardh	56	56 dpi	-0.2685	0.09321	1	0_none
Sarm1	56	56 dpi	-0.0284	0.8116	1	0_none
Sarnp	56	56 dpi	0.3413	0.005945	1	0_none
Sars	56	56 dpi	-0.07706	0.4768	1	0_none
Sars2	56	56 dpi	-0.6882	0.00181	1	0_none
Sart1	56	56 dpi	-0.2172	0.06512	1	0_none
Sart3	56	56 dpi	-0.1685	0.1995	1	0_none
Sash3	56	56 dpi	-0.03534	0.8995	1	0_none
Sass6	56	56 dpi	0.3689	0.09758	1	0_none
Sat2	56	56 dpi	-0.1233	0.5126	1	0_none
Satb1	56	56 dpi	-0.05524	0.6979	1	0_none
Satb2	56	56 dpi	0.2351	0.1293	1	0_none
Satl1	56	56 dpi	0	1	1	0_none
Sav1	56	56 dpi	0.1556	0.2387	1	0_none
Sbds	56	56 dpi	0.09208	0.4333	1	0_none
Sbf1	56	56 dpi	-0.4119	0.00317	1	0_none
Sbf2	56	56 dpi	0.1465	0.1594	1	0_none
Sbk1	56	56 dpi	-0.09133	0.4809	1	0_none
Sbk2	56	56 dpi	-0.6331	0.5287	1	0_none
Sbno1	56	56 dpi	0.3018	0.004798	1	0_none
Sbp	56	56 dpi	0	1	1	0_none
Sbpl	56	56 dpi	-0.5908	0.7021	1	0_none
Sbsn	56	56 dpi	-0.02999	0.8773	1	0_none
Sc4mol	56	56 dpi	0.045	0.7035	1	0_none
Sc5d	56	56 dpi	0.1497	0.1997	1	0_none
Scaf11	56	56 dpi	0.1608	0.1642	1	0_none
Scaf4	56	56 dpi	-0.255	0.02407	1	0_none
Scaf8	56	56 dpi	0.1285	0.2371	1	0_none
Scai	56	56 dpi	0.184	0.1021	1	0_none
Scamp1	56	56 dpi	0.0268	0.8075	1	0_none
Scamp3	56	56 dpi	-0.4307	6.43e-4	1	0_none
Scamp4	56	56 dpi	-0.4579	1.947e-4	1	0_none
Scamp5	56	56 dpi	-0.1406	0.2151	1	0_none
Scand1	56	56 dpi	-1.265	0.004786	1	0_none
Scaper	56	56 dpi	-0.002929	0.9841	1	0_none
Scara3	56	56 dpi	0.1106	0.3561	1	0_none
Scara5	56	56 dpi	0.6037	0.3007	1	0_none
Scarb1	56	56 dpi	-0.1784	0.1603	1	0_none
Scarb2	56	56 dpi	0.05679	0.6372	1	0_none
Scarf1	56	56 dpi	-0.5065	0.1041	1	0_none
Scarna10	56	56 dpi	0	1	1	0_none
Scarna13	56	56 dpi	0.2045	0.7231	1	0_none
Scarna17	56	56 dpi	1.542	0.2422	1	0_none
Scarna2	56	56 dpi	0	1	1	0_none
Scarna3a	56	56 dpi	1.273	0.1361	1	0_none
Scarna3b	56	56 dpi	-1.772	0.2891	1	0_none
Scarna6	56	56 dpi	0.5216	0.5142	1	0_none
Scarna8	56	56 dpi	2.074	0.1785	1	0_none
Scarna9	56	56 dpi	-0.04535	0.9691	1	0_none
Scd1	56	56 dpi	0.05769	0.609	1	0_none
Scd3	56	56 dpi	0.1233	0.5846	1	0_none
Scd4	56	56 dpi	-0.9895	0.03272	1	0_none
Scel	56	56 dpi	0.06851	0.8208	1	0_none
Scfd1	56	56 dpi	0.08814	0.5267	1	0_none
Scfd2	56	56 dpi	-0.1485	0.2938	1	0_none
Scg2	56	56 dpi	0.1124	0.3426	1	0_none
Scg5	56	56 dpi	0.1053	0.3358	1	0_none
Scgb1a1	56	56 dpi	-1.772	0.2891	1	0_none
Scgb1c1	56	56 dpi	-4.113	0.002904	1	0_none
Scgb2b1-ps	56	56 dpi	0	1	1	0_none
Scgb3a1	56	56 dpi	-0.7071	0.4455	1	0_none
Scgb3a2	56	56 dpi	0	1	1	0_none
Scgn	56	56 dpi	0.5401	0.09693	1	0_none
Schip1	56	56 dpi	0.2045	0.0499	1	0_none
Scin	56	56 dpi	0.4133	0.3323	1	0_none
Sclt1	56	56 dpi	0.2497	0.3111	1	0_none
Scly	56	56 dpi	-0.2737	0.06219	1	0_none
Scmh1	56	56 dpi	-0.012070000000000001	0.9087	1	0_none
Scml2	56	56 dpi	-0.1986	0.5887	1	0_none
Scml4	56	56 dpi	-0.6819	0.04989	1	0_none
Scn10a	56	56 dpi	-0.1525	0.9053	1	0_none
Scn11a	56	56 dpi	-2.585	0.1404	1	0_none
Scn1a	56	56 dpi	0.09526	0.4161	1	0_none
Scn1b	56	56 dpi	-0.2636	0.05607	1	0_none
Scn2a1	56	56 dpi	0.006651	0.9576	1	0_none
Scn2b	56	56 dpi	0.04117	0.7139	1	0_none
Scn3a	56	56 dpi	0.08704	0.4752	1	0_none
Scn3b	56	56 dpi	0.3978	0.0131	1	0_none
Scn4a	56	56 dpi	-0.07101	0.9223	1	0_none
Scn4b	56	56 dpi	0.3231	0.2359	1	0_none
Scn5a	56	56 dpi	-0.9508	0.008473	1	0_none
Scn7a	56	56 dpi	-0.4587	0.2178	1	0_none
Scn8a	56	56 dpi	-0.008823	0.9416	1	0_none
Scn9a	56	56 dpi	-0.6092	0.0862	1	0_none
Scnm1	56	56 dpi	0.2062	0.119	1	0_none
Scnn1a	56	56 dpi	-0.4423	0.02789	1	0_none
Scnn1b	56	56 dpi	-0.8794	0.4936	1	0_none
Scnn1g	56	56 dpi	-0.3622	0.5016	1	0_none
Sco1	56	56 dpi	-0.06306	0.7047	1	0_none
Sco2	56	56 dpi	-0.5622	0.003551	1	0_none
Scoc	56	56 dpi	0.26	0.01816	1	0_none
Scp2	56	56 dpi	0.2212	0.02836	1	0_none
Scpep1	56	56 dpi	0.06694	0.6586	1	0_none
Scrn1	56	56 dpi	-0.08726	0.4168	1	0_none
Scrn2	56	56 dpi	-0.5045	0.05287	1	0_none
Scrn3	56	56 dpi	0.1916	0.1291	1	0_none
Scrt1	56	56 dpi	-0.5321	1.973e-4	1	0_none
Scrt2	56	56 dpi	-0.1499	0.3465	1	0_none
Sct	56	56 dpi	-1.83	0.2816	1	0_none
Sctr	56	56 dpi	-0.943	0.008568	1	0_none
Scube1	56	56 dpi	-0.3548	0.02287	1	0_none
Scube2	56	56 dpi	0.3575	0.25	1	0_none
Scube3	56	56 dpi	-0.7152	0.08703	1	0_none
Scx	56	56 dpi	-2.257	0.01895	1	0_none
Scyl1	56	56 dpi	-0.3806	0.004212	1	0_none
Scyl2	56	56 dpi	0.1115	0.3528	1	0_none
Scyl3	56	56 dpi	0.06736	0.5863	1	0_none
Sdad1	56	56 dpi	0.1115	0.3683	1	0_none
Sdc1	56	56 dpi	-0.468	0.2575	1	0_none
Sdc2	56	56 dpi	0.08714	0.511	1	0_none
Sdc3	56	56 dpi	-0.4561	2.336e-4	1	0_none
Sdcbp	56	56 dpi	0.2202	0.07677	1	0_none
Sdcbp2	56	56 dpi	-0.345	0.4116	1	0_none
Sdccag3	56	56 dpi	0.05539	0.6111	1	0_none
Sdccag8	56	56 dpi	0.1701	0.2165	1	0_none
Sdf2	56	56 dpi	0.05984	0.5818	1	0_none
Sdf2l1	56	56 dpi	0.8845	1.976e-4	1	0_none
Sdf4	56	56 dpi	0.08147	0.4635	1	0_none
Sdha	56	56 dpi	0.03353	0.7519	1	0_none
Sdhaf1	56	56 dpi	-0.03432	0.8433	1	0_none
Sdhaf2	56	56 dpi	0.2826	0.01134	1	0_none
Sdhb	56	56 dpi	-0.1743	0.09746	1	0_none
Sdhc	56	56 dpi	0.01648	0.8753	1	0_none
Sdhd	56	56 dpi	0.09059	0.3759	1	0_none
Sdk1	56	56 dpi	-0.5631	0.01616	1	0_none
Sdk2	56	56 dpi	-0.7693	3.789e-4	1	0_none
Sdpr	56	56 dpi	0.3738	0.03258	1	0_none
Sdr16c5	56	56 dpi	0	1	1	0_none
Sdr16c6	56	56 dpi	0	1	1	0_none
Sdr39u1	56	56 dpi	-0.3837	0.004286	1	0_none
Sdr42e1	56	56 dpi	-0.05121	0.7804	1	0_none
Sdr9c7	56	56 dpi	1.889	0.09542	1	0_none
Sds	56	56 dpi	-0.7187	0.5251	1	0_none
Sdsl	56	56 dpi	-0.8048	0.007764	1	0_none
Sebox	56	56 dpi	0.1562	0.5804	1	0_none
Sec1	56	56 dpi	-1.141	0.001037	1	0_none
Sec11a	56	56 dpi	0.1813	0.1684	1	0_none
Sec13	56	56 dpi	0.02703	0.8152	1	0_none
Sec14l1	56	56 dpi	-0.08318	0.545	1	0_none
Sec14l2	56	56 dpi	0.0329	0.7644	1	0_none
Sec14l3	56	56 dpi	-1.576	0.006077	1	0_none
Sec14l4	56	56 dpi	-0.8252	0.07255	1	0_none
Sec16a	56	56 dpi	-0.02585	0.8106	1	0_none
Sec16b	56	56 dpi	-0.4801	0.1919	1	0_none
Sec22a	56	56 dpi	0.1973	0.1785	1	0_none
Sec22b	56	56 dpi	0.2114	0.05492	1	0_none
Sec22c	56	56 dpi	-0.02577	0.815	1	0_none
Sec23a	56	56 dpi	0.09706	0.3674	1	0_none
Sec23b	56	56 dpi	0.03595	0.741	1	0_none
Sec23ip	56	56 dpi	0.1923	0.09449	1	0_none
Sec24a	56	56 dpi	0.1404	0.2569	1	0_none
Sec24b	56	56 dpi	0.01766	0.8618	1	0_none
Sec24c	56	56 dpi	0.001283	0.9901	1	0_none
Sec24d	56	56 dpi	-0.2324	0.06473	1	0_none
Sec31a	56	56 dpi	-0.1018	0.332	1	0_none
Sec31b	56	56 dpi	0.08143	0.896	1	0_none
Sec61a1	56	56 dpi	-0.1118	0.2955	1	0_none
Sec61a2	56	56 dpi	0.171	0.09204	1	0_none
Sec61b	56	56 dpi	-0.3745	0.03562	1	0_none
Sec61g	56	56 dpi	0.3799	0.005771	1	0_none
Sec62	56	56 dpi	0.1352	0.23	1	0_none
Sec63	56	56 dpi	0.2825	0.008742	1	0_none
Secisbp2	56	56 dpi	0.02584	0.8517	1	0_none
Secisbp2l	56	56 dpi	0.1054	0.3759	1	0_none
Sectm1a	56	56 dpi	0	1	1	0_none
Sectm1b	56	56 dpi	-2.634	0.1355	1	0_none
Seh1l	56	56 dpi	0.08557	0.4874	1	0_none
Sel1l	56	56 dpi	0.08537	0.4346	1	0_none
Sel1l2	56	56 dpi	0	1	1	0_none
Sel1l3	56	56 dpi	-0.1008	0.3608	1	0_none
Sele	56	56 dpi	1.444	0.2879	1	0_none
Selenbp1	56	56 dpi	0.02766	0.8699	1	0_none
Selenbp2	56	56 dpi	-1.3	0.1134	1	0_none
Selk	56	56 dpi	0.2114	0.03626	1	0_none
Sell	56	56 dpi	-3.544	0.04099	1	0_none
Selm	56	56 dpi	-0.565	8.344e-5	1	0_none
Selp	56	56 dpi	2.847	0.09186	1	0_none
Sema3a	56	56 dpi	0.2121	0.4227	1	0_none
Sema3b	56	56 dpi	-0.03161	0.9397	1	0_none
Sema3c	56	56 dpi	0.2827	0.02301	1	0_none
Sema3d	56	56 dpi	0.2504	0.3223	1	0_none
Sema3e	56	56 dpi	0.07737	0.5826	1	0_none
Sema3f	56	56 dpi	-0.3789	0.2769	1	0_none
Sema3g	56	56 dpi	-0.1485	0.4849	1	0_none
Sema4a	56	56 dpi	-0.5496	8.014e-4	1	0_none
Sema4b	56	56 dpi	-0.4251	0.001884	1	0_none
Sema4c	56	56 dpi	-0.5934	3.915e-4	1	0_none
Sema4d	56	56 dpi	-0.248	0.01867	1	0_none
Sema4f	56	56 dpi	-0.2101	0.07715	1	0_none
Sema4g	56	56 dpi	-0.5994	3.209e-4	1	0_none
Sema5a	56	56 dpi	0.3409	0.03878	1	0_none
Sema5b	56	56 dpi	-0.2425	0.1688	1	0_none
Sema6c	56	56 dpi	-0.1558	0.2692	1	0_none
Sema6d	56	56 dpi	-0.1335	0.2376	1	0_none
Sema7a	56	56 dpi	-0.2574	0.09159	1	0_none
Senp1	56	56 dpi	0.1011	0.4292	1	0_none
Senp2	56	56 dpi	0.152	0.1464	1	0_none
Senp3	56	56 dpi	-0.01568	0.8822	1	0_none
Senp5	56	56 dpi	0.163	0.1033	1	0_none
Senp6	56	56 dpi	0.1774	0.14	1	0_none
Senp7	56	56 dpi	0.1805	0.1708	1	0_none
Senp8	56	56 dpi	0.259	0.1926	1	0_none
Sep15	56	56 dpi	0.2206	0.04427	1	0_none
Sephs1	56	56 dpi	0.09962	0.4018	1	0_none
Sephs2	56	56 dpi	-0.1125	0.381	1	0_none
Sepn1	56	56 dpi	-0.04304	0.7604	1	0_none
Sepp1	56	56 dpi	0.2462	0.02824	1	0_none
Sepsecs	56	56 dpi	0.2207	0.2546	1	0_none
Sept1	56	56 dpi	-0.9142	0.05799	1	0_none
Sept10	56	56 dpi	0.1264	0.5625	1	0_none
Sept11	56	56 dpi	0.05827	0.612	1	0_none
Sept12	56	56 dpi	0	1	1	0_none
Sept14	56	56 dpi	0	1	1	0_none
Sept2	56	56 dpi	0.3311	0.004295	1	0_none
Sept3	56	56 dpi	0.06043	0.5914	1	0_none
Sept5	56	56 dpi	-0.1573	0.2509	1	0_none
Sept6	56	56 dpi	0.1142	0.2852	1	0_none
Sept8	56	56 dpi	-0.1719	0.09761	1	0_none
Sept9	56	56 dpi	-0.1275	0.2381	1	0_none
Sepw1	56	56 dpi	-0.1646	0.22	1	0_none
Sepx1	56	56 dpi	0.05376	0.7172	1	0_none
Serac1	56	56 dpi	0.1272	0.3318	1	0_none
Serbp1	56	56 dpi	0.1317	0.2142	1	0_none
Serf1	56	56 dpi	0.06339	0.783	1	0_none
Serf2	56	56 dpi	-0.006361	0.95	1	0_none
Sergef	56	56 dpi	-0.1514	0.3016	1	0_none
Serhl	56	56 dpi	0.1326	0.5643	1	0_none
Serinc1	56	56 dpi	0.1434	0.216	1	0_none
Serinc2	56	56 dpi	0.2182	0.2175	1	0_none
Serinc4	56	56 dpi	-0.781	0.1101	1	0_none
Serinc5	56	56 dpi	0.1821	0.1047	1	0_none
Serp1	56	56 dpi	0.3875	9.087e-4	1	0_none
Serp2	56	56 dpi	-0.19	0.1229	1	0_none
Serpina10	56	56 dpi	-1.073	0.4685	1	0_none
Serpina11	56	56 dpi	0	1	1	0_none
Serpina12	56	56 dpi	-0.05056	0.9644	1	0_none
Serpina1a	56	56 dpi	1.936	0.2313	1	0_none
Serpina1b	56	56 dpi	1.936	0.2313	1	0_none
Serpina1c	56	56 dpi	0	1	1	0_none
Serpina1d	56	56 dpi	-1.772	0.2891	1	0_none
Serpina1e	56	56 dpi	-1.762	0.2903	1	0_none
Serpina1f	56	56 dpi	0	1	1	0_none
Serpina3a	56	56 dpi	1.007	0.5097	1	0_none
Serpina3b	56	56 dpi	0.2874	0.8168	1	0_none
Serpina3c	56	56 dpi	0.1584	0.7817	1	0_none
Serpina3f	56	56 dpi	0.562	0.4923	1	0_none
Serpina3g	56	56 dpi	-2.385	2.824e-4	1	0_none
Serpina3h	56	56 dpi	0.8521	0.119	1	0_none
Serpina3i	56	56 dpi	-0.2977	0.7337	1	0_none
Serpina3j	56	56 dpi	1.936	0.2313	1	0_none
Serpina3k	56	56 dpi	1.936	0.2313	1	0_none
Serpina3m	56	56 dpi	-1.05	0.3414	1	0_none
Serpina3n	56	56 dpi	0.07192	0.6722	1	0_none
Serpina4-ps1	56	56 dpi	0	1	1	0_none
Serpina5	56	56 dpi	-1.762	0.2903	1	0_none
Serpina6	56	56 dpi	0	1	1	0_none
Serpina7	56	56 dpi	0	1	1	0_none
Serpina9	56	56 dpi	1.303	0.104	1	0_none
Serpinb10-ps	56	56 dpi	-3.031	0.08164	1	0_none
Serpinb11	56	56 dpi	0	1	1	0_none
Serpinb12	56	56 dpi	0	1	1	0_none
Serpinb13	56	56 dpi	0	1	1	0_none
Serpinb1b	56	56 dpi	0.7183	0.09291	1	0_none
Serpinb1c	56	56 dpi	0.9439	0.5323	1	0_none
Serpinb2	56	56 dpi	-1.83	0.2816	1	0_none
Serpinb3a	56	56 dpi	0	1	1	0_none
Serpinb3b	56	56 dpi	0	1	1	0_none
Serpinb3c	56	56 dpi	0	1	1	0_none
Serpinb3d	56	56 dpi	0	1	1	0_none
Serpinb5	56	56 dpi	0.3568	0.7684	1	0_none
Serpinb6a	56	56 dpi	0.2354	0.04852	1	0_none
Serpinb6b	56	56 dpi	0.1077	0.7514	1	0_none
Serpinb6c	56	56 dpi	0.9846	0.1891	1	0_none
Serpinb6d	56	56 dpi	0	1	1	0_none
Serpinb6e	56	56 dpi	-1.069	0.2908	1	0_none
Serpinb7	56	56 dpi	-0.6719	0.5792	1	0_none
Serpinb8	56	56 dpi	0.7865	0.02418	1	0_none
Serpinb9	56	56 dpi	0.2168	0.21	1	0_none
Serpinb9b	56	56 dpi	1.936	0.2313	1	0_none
Serpinb9c	56	56 dpi	0	1	1	0_none
Serpinb9d	56	56 dpi	0	1	1	0_none
Serpinb9e	56	56 dpi	0	1	1	0_none
Serpinb9f	56	56 dpi	0	1	1	0_none
Serpinb9g	56	56 dpi	0	1	1	0_none
Serpinc1	56	56 dpi	0.6947	0.5754	1	0_none
Serpind1	56	56 dpi	0.3249	0.3864	1	0_none
Serpine1	56	56 dpi	0.07211	0.8571	1	0_none
Serpine3	56	56 dpi	-1.83	0.2816	1	0_none
Serpinf1	56	56 dpi	-0.0437	0.7899	1	0_none
Serpinf2	56	56 dpi	0.07518	0.8365	1	0_none
Serping1	56	56 dpi	0.001028	0.9961	1	0_none
Serpinh1	56	56 dpi	-0.2778	0.09072	1	0_none
Serpini1	56	56 dpi	0.05665	0.6329	1	0_none
Serpini2	56	56 dpi	0	1	1	0_none
Sertad1	56	56 dpi	-0.1578	0.5777	1	0_none
Sertad2	56	56 dpi	-0.03037	0.8275	1	0_none
Sertad3	56	56 dpi	0.1202	0.6691	1	0_none
Sertad4	56	56 dpi	0.05224	0.813	1	0_none
Sesn1	56	56 dpi	0.366	0.003582	1	0_none
Sesn2	56	56 dpi	-0.3785	0.01272	1	0_none
Sesn3	56	56 dpi	-3.884e-5	0.9999	1	0_none
Sestd1	56	56 dpi	0.1896	0.1035	1	0_none
Set	56	56 dpi	0.2382	0.0202	1	0_none
Setbp1	56	56 dpi	0.2211	0.09893	1	0_none
Setd1a	56	56 dpi	-0.3414	0.002086	1	0_none
Setd2	56	56 dpi	0.151	0.1784	1	0_none
Setd3	56	56 dpi	0.128	0.2294	1	0_none
Setd4	56	56 dpi	-0.1223	0.4598	1	0_none
Setd5	56	56 dpi	-0.008269	0.9401	1	0_none
Setd6	56	56 dpi	0.1911	0.2726	1	0_none
Setd7	56	56 dpi	0.128	0.2272	1	0_none
Setd8	56	56 dpi	0.1466	0.1963	1	0_none
Setdb1	56	56 dpi	0.1785	0.07644	1	0_none
Setdb2	56	56 dpi	0.3294	0.1542	1	0_none
Setmar	56	56 dpi	0.3484	0.1341	1	0_none
Setx	56	56 dpi	0.2364	0.0264	1	0_none
Sez6l	56	56 dpi	-0.1666	0.175	1	0_none
Sez6l2	56	56 dpi	-0.3321	0.01023	1	0_none
Sf1	56	56 dpi	-0.08468	0.4327	1	0_none
Sf3a1	56	56 dpi	0.02305	0.8313	1	0_none
Sf3a2	56	56 dpi	-0.4365	0.005259	1	0_none
Sf3a3	56	56 dpi	0.1845	0.1264	1	0_none
Sf3b1	56	56 dpi	0.1784	0.1184	1	0_none
Sf3b2	56	56 dpi	-0.1016	0.3621	1	0_none
Sf3b3	56	56 dpi	0.08359	0.438	1	0_none
Sfi1	56	56 dpi	-0.4122	0.001601	1	0_none
Sfmbt1	56	56 dpi	0.2186	0.0492	1	0_none
Sfmbt2	56	56 dpi	0.4214	0.1114	1	0_none
Sfn	56	56 dpi	-0.4227	0.1933	1	0_none
Sfpi1	56	56 dpi	-0.3412	0.2281	1	0_none
Sfpq	56	56 dpi	0.455	5.067e-5	1	0_none
Sfr1	56	56 dpi	0.08671	0.3853	1	0_none
Sfrp1	56	56 dpi	0.4025	0.1371	1	0_none
Sfrp2	56	56 dpi	-0.3243	0.4521	1	0_none
Sfrp4	56	56 dpi	-0.2523	0.4766	1	0_none
Sfrp5	56	56 dpi	-0.02989	0.9557	1	0_none
Sfrs18	56	56 dpi	0.004164	0.9778	1	0_none
Sfswap	56	56 dpi	-0.2337	0.03815	1	0_none
Sft2d2	56	56 dpi	0.2269	0.05374	1	0_none
Sft2d3	56	56 dpi	0.1398	0.5238	1	0_none
Sfta2	56	56 dpi	1.936	0.2313	1	0_none
Sftpa1	56	56 dpi	-0.6918	0.6615	1	0_none
Sftpb	56	56 dpi	0	1	1	0_none
Sftpc	56	56 dpi	-0.10780000000000001	0.8079	1	0_none
Sftpd	56	56 dpi	-1.762	0.2903	1	0_none
Sfxn1	56	56 dpi	0.1048	0.3325	1	0_none
Sfxn2	56	56 dpi	0.09582	0.4973	1	0_none
Sfxn3	56	56 dpi	-0.1258	0.2874	1	0_none
Sfxn4	56	56 dpi	0.1715	0.2656	1	0_none
Sgca	56	56 dpi	-0.6756	0.2119	1	0_none
Sgcb	56	56 dpi	0.1467	0.1668	1	0_none
Sgcd	56	56 dpi	-0.4975	0.3391	1	0_none
Sgce	56	56 dpi	0.02145	0.8769	1	0_none
Sgcg	56	56 dpi	-1.615	0.02702	1	0_none
Sgcz	56	56 dpi	-0.03967	0.9382	1	0_none
Sgip1	56	56 dpi	-0.00793	0.9414	1	0_none
Sgk2	56	56 dpi	0.04748	0.8724	1	0_none
Sgms1	56	56 dpi	0.3818	9.053e-4	1	0_none
Sgms2	56	56 dpi	0.4975	0.1625	1	0_none
Sgol1	56	56 dpi	1.147	0.1181	1	0_none
Sgol2	56	56 dpi	0.07137	0.8535	1	0_none
Sgpl1	56	56 dpi	0.05103	0.6465	1	0_none
Sgpp1	56	56 dpi	0.2565	0.02958	1	0_none
Sgpp2	56	56 dpi	0.01106	0.954	1	0_none
