our_dpi	aguzzi_dpi	gene	this_study_log2fc	sorce_nuvolone_log2fc	this_study_padj	sorce_nuvolone_p_bonf	celltype
89	84	Rps15a	-0.0014317781244061	-0.1045	0.999662388620542	1	0_none
89	84	Dnajb11	0.00168380582745997	-0.1188	0.999662388620542	1	0_none
89	84	Katna1	-0.00240382292312227	-0.136	0.999662388620542	1	0_none
89	84	Zzz3	-0.00246975273157756	-0.08097	0.999662388620542	1	0_none
89	84	0610010F05Rik	-0.00283132108033011	-0.02332	0.999662388620542	1	0_none
89	84	Fam120b	-0.00223154978151563	-0.001915	0.999662388620542	1	0_none
89	84	Prps2	-0.00284738690629045	-0.2409	0.999662388620542	1	0_none
89	84	Fahd2a	0.0028751557528729	0.2513	0.999662388620542	1	0_none
89	84	Tmem80	-0.00193601714554344	0.09083	0.999662388620542	1	0_none
89	84	Serpinb6a	0.00271965833528338	-0.1436	0.999662388620542	1	0_none
89	84	Cryzl1	0.00240119319148881	-0.0335	0.999662388620542	1	0_none
89	84	Ptcd3	0.00194331893023972	-0.1355	0.999662388620542	1	0_none
89	84	Hpca	0.00600240050961718	0.3622	0.999662388620542	1	0_none
89	84	Zfp2	0.00363097212761107	-0.2354	0.999662388620542	1	0_none
89	84	Fam81a	0.00189658717237653	-0.02118	0.999662388620542	1	0_none
89	84	Ttll12	0.00360922306580957	0.1302	0.999662388620542	1	0_none
89	84	Hdac4	0.00197932560019855	0.2952	0.999662388620542	1	0_none
89	84	Atp5e	0.00173245639469477	0.2424	0.999662388620542	1	0_none
89	84	Psmb3	0.00252756902486318	0.1171	0.999662388620542	1	0_none
89	84	Hspa9	0.00129389501121866	-0.1211	0.999662388620542	1	0_none
89	84	Acad8	-0.00307820762397719	-0.09516	0.999662388620542	1	0_none
89	84	Hsd17b4	-0.0038072378582134	-0.06156	0.999662388620542	1	0_none
89	84	Mprip	0.00140311702616855	0.03523	0.999662388620542	1	0_none
89	84	Zfp809	0.00354864396933696	-0.3084	0.999662388620542	1	0_none
89	84	Stt3a	-0.00248826074008522	-0.3366	0.999662388620542	1	0_none
89	84	Trp53inp2	0.00160250976519838	-0.007351	0.999662388620542	1	0_none
89	84	Rnf167	0.0023971404001041	0.05861	0.999662388620542	1	0_none
89	84	Smarcc1	-0.00285236931083138	-0.0272	0.999662388620542	1	0_none
89	84	Csad	-0.00339483918098923	0.1097	0.999662388620542	1	0_none
89	84	Got1	-0.00109727048777427	0.09601	0.999662388620542	1	0_none
89	84	Adipor1	-0.00324214099813478	0.03808	0.999662388620542	1	0_none
89	84	Cct3	0.00194894704465003	-0.1207	0.999662388620542	1	0_none
89	84	Lmo3	0.00215742538833039	-0.2209	0.999662388620542	1	0_none
89	84	Slc16a1	-0.00397463704453244	-0.4239	0.999662388620542	1	0_none
89	84	Ndufab1	0.00174121086649639	0.1009	0.999662388620542	1	0_none
89	84	Sdhc	-0.00164051748712755	0.04762	0.999662388620542	1	0_none
89	84	Ncam1	-0.00148676835980933	0.02296	0.999662388620542	1	0_none
89	84	Snca	-0.002608458697727	0.2344	0.999662388620542	1	0_none
89	84	Zfp207	0.00235415545587811	-0.04078	0.999662388620542	1	0_none
89	84	Rsl24d1	-0.00378476270359136	0.008033	0.999662388620542	1	0_none
89	84	Klhl7	-0.0028900308768758	0.0333	0.999662388620542	1	0_none
89	84	Cep63	-0.00476381486634072	-0.1835	0.999662388620542	1	0_none
89	84	Spred3	0.00385775622083848	0.1506	0.999662388620542	1	0_none
89	84	Son	0.00267562901944224	-0.1082	0.999662388620542	1	0_none
89	84	Spcs2	0.00228824207029323	-0.03556	0.999662388620542	1	0_none
89	84	Elavl3	-0.00268288119226012	0.1585	0.999662388620542	1	0_none
89	84	Trib2	0.00298344574821379	-0.01033	0.999662388620542	1	0_none
89	84	Pdk2	-0.00341961993876785	0.2492	0.999662388620542	1	0_none
89	84	Rab28	-0.00276431819144916	-0.009408	0.999662388620542	1	0_none
89	84	Slc35b2	-0.00441851219941337	0.187	0.999662388620542	1	0_none
89	84	Scn1a	-0.00495532338672185	-0.1329	0.999662388620542	1	0_none
89	84	Vstm2b	-0.00573099028617934	0.3583	0.999662388620542	1	0_none
89	84	Itgb1bp1	-0.00422851984893736	-0.05106	0.999662388620542	1	0_none
89	84	Iqsec2	-0.00253980216777377	0.1708	0.999662388620542	1	0_none
89	84	Igfbp4	0.00259026664744911	0.01299	0.999662388620542	1	0_none
89	84	Lrrc45	0.00499181743474735	0.2838	0.999662388620542	1	0_none
