inoculum	x	dose	color	n	mean	sd	l95	u95	pval	diff
RML	1	0	#902323	5	1.0046	0.09132524295067602	0.9245513660300999	1.0846486339699	0.9633072385940153	0.0032333333333334213
none	1	0	#23CDBE	6	1.0078333333333334	0.1340946183359596	0.9005372635157471	1.1151294031509196	0.9633072385940153	0.0032333333333334213
RML	2	70	#902323	4	0.5265	0.056204981985585586	0.47142012977826486	0.5815798702217351	1.4805216311391617e-4	0.3603333333333334
none	2	70	#23CDBE	6	0.8868333333333334	0.10831697312363683	0.8001632964972113	0.9735033701694554	1.4805216311391617e-4	0.3603333333333334
RML	3	244	#902323	3	0.34800000000000003	0.04084115571332428	0.3017847308316188	0.3942152691683813	2.15139191333089e-4	0.2966666666666667
none	3	244	#23CDBE	6	0.6446666666666667	0.0863496767027339	0.5755738048113899	0.7137595285219436	2.15139191333089e-4	0.2966666666666667
