gene	log2fold_change	base_mean	pvalue	padj	celltype
1700030J22Rik	-5.488460996372582e-4	5.344971644991247	0.9984555735601208	0.999982134794756	0_none
1810010H24Rik	-1.1471676324185462e-4	6.925737658570108	0.9996231495356293	0.999982134794756	0_none
2010315B03Rik	9.804046171962078e-4	11.141919242050818	0.9963192430704282	0.999982134794756	0_none
2610008E11Rik	1.0347098899346794e-4	45.81354478211022	0.9991654408238406	0.999982134794756	0_none
Aamdc	-3.419291049576345e-4	115.58320423528474	0.99552391877539	0.999982134794756	0_none
Abhd14a	3.4543699457459886e-4	54.51170615912569	0.9972043583564978	0.999982134794756	0_none
Arap2	-2.143725819987331e-4	97.7476736444727	0.9978862152866248	0.999982134794756	0_none
Atg14	-2.302373221065831e-4	18.003437809366858	0.9987777520900576	0.999982134794756	0_none
Babam2	1.593316062918635e-5	64.21699745075941	0.99984202956393	0.999982134794756	0_none
Bco2	-2.444425969595898e-4	4.147918042084458	0.9993569138095904	0.999982134794756	0_none
Bend4	-5.148257797661098e-4	2.8678642340742866	0.9989317861031436	0.999982134794756	0_none
Bnip3	-1.1518167156119808e-4	44.17393273538392	0.999069421877908	0.999982134794756	0_none
Catsperd	0.00198324931485403	1.6510877700766606	0.9967694736279216	0.999982134794756	0_none
Ccdc92	2.3185655222231788e-4	176.81848980722668	0.9963882017672864	0.999982134794756	0_none
Cdon	3.905066719049654e-4	25.97173649330535	0.997372934553854	0.999982134794756	0_none
Coa7	5.231590005543435e-4	18.473656266856143	0.9971854640355836	0.999982134794756	0_none
Crnkl1	3.0970350965142345e-6	19.764601412756107	0.999982134794756	0.999982134794756	0_none
Ctr9	-8.433055439698702e-5	58.05402459114278	0.9992722794466824	0.999982134794756	0_none
Cyp4f13	-3.9109530111141894e-4	9.603523157360195	0.9983556097642472	0.999982134794756	0_none
Dck	4.279631758227002e-4	20.39785047299288	0.9975422054227912	0.999982134794756	0_none
Dgkg	-5.367606224604567e-4	27.890035443935055	0.9973623410560968	0.999982134794756	0_none
Dlgap4	-2.4518904967402177e-4	331.5685991480358	0.9969419698692076	0.999982134794756	0_none
E2f2	-0.00128372536698324	0.908267563042427	0.9983121355633492	0.999982134794756	0_none
Eef2kmt	9.25970256738124e-6	12.096335369353222	0.9999615607434552	0.999982134794756	0_none
Etnk2	-7.487776089735321e-4	12.553271125213012	0.9965725053829166	0.999982134794756	0_none
Fam133b	2.241567175639131e-4	44.28352057483671	0.9984406827963224	0.999982134794756	0_none
Fam207a	-2.113728157354772e-5	92.14715428716168	0.9997819018039608	0.999982134794756	0_none
Glyctk	0.00153517092263193	2.545917953304722	0.9970383866108372	0.999982134794756	0_none
Gm128	-0.00182165652537059	0.8216241562195739	0.9977912653967772	0.999982134794756	0_none
Gm15644	-0.00131235054366859	2.1513823381263544	0.9979138593722888	0.999982134794756	0_none
Gm29155	-3.336439458302559e-4	2.285162625897139	0.9993322472709988	0.999982134794756	0_none
Gm3550	0.00101822840781818	8.992207246041568	0.996366218338096	0.999982134794756	0_none
Gm49309	-0.00215793982258619	1.524859222885043	0.9967813007708012	0.999982134794756	0_none
Gm6569	0.001908595346524	0.9883810617677038	0.9976837032006706	0.999982134794756	0_none
Gm7504	-0.00659963337903119	1.1500917678487683	0.99603472734192	0.999982134794756	0_none
