dpi	gene	log2fold_change	base_mean	pvalue	padj
149	Cox6c2	0	10.789594200158048	1	1
89	Gm7324	0	12.544876257120013	1	1
89	Tmem64	1.058601756206728e-5	19.43653110302469	0.9999640373737544	1
89	Maf1	2.6144798357045887e-5	40.59697155213709	0.9998748573121012	1
60	Zdhhc5	4.913427794655606e-6	17.44460963863156	0.9999848155220414	0.9999848155220414
120	Cog4	-2.1662983976157715e-5	26.655601863472366	0.9999257719607644	0.9999257719607644
60	Eif2s1	-9.600461622454508e-5	16.719201168941712	0.9997436520150378	0.9998615324126342
149	Arcn1	7.225628734742848e-5	38.06650777199113	0.999739533196378	0.999857413108322
60	Kit	1.6885104776273054e-4	12.907202176758403	0.9995946323223214	0.9998303857733408
60	Pten	-1.086902803056124e-4	113.0293531001796	0.9995190068725002	0.9998303857733408
60	Kctd20	1.9772616090909213e-4	23.327290486401996	0.9993274498749362	0.9997989419484794
60	Bap1	-1.7058749864922986e-4	31.32843954608946	0.9993222082928404	0.9997989419484794
60	Tmem126a	2.3777837470496168e-4	18.59952889398966	0.999228696134438	0.9997989419484794
60	Armcx2	1.5350530718497067e-4	72.80456565644513	0.9992068849159385	0.9997989419484794
60	Camkk2	1.065760421804792e-4	168.07713504400388	0.999200537505475	0.9997989419484794
60	Eno2	1.6992940168749843e-4	340.5240516276963	0.9991399623367362	0.9997989419484794
60	Syt5	-2.2853347993248696e-4	79.53971017733936	0.9989844712098211	0.9997989419484794
60	Rab3a	1.2785156610300877e-4	453.6126854811991	0.9989802821137092	0.9997989419484794
60	Zfp950	-3.2737109527986496e-4	26.385170828379955	0.9988052229285304	0.9997989419484794
60	Gpat4	-2.4680123364917824e-4	70.70695693485328	0.9988023855500704	0.9997989419484794
60	Phip	-4.229765645198096e-4	26.604654059873496	0.9986993211438816	0.9997989419484794
60	Mllt3	5.217372206028786e-4	18.322737930421116	0.998402190419904	0.9997989419484794
60	Trio	4.741807894196485e-4	36.76251507205113	0.9980580519187232	0.9997989419484794
60	Kdm6b	-8.954009252218496e-4	11.151073106851822	0.9979753327038532	0.9997989419484794
60	Shf	-9.660493752596512e-4	11.89900199106154	0.9979422772931996	0.9997989419484794
149	Trmt112	-1.3805414766504992e-4	56.23159073210969	0.999546888279818	0.9997826304704498
89	Wfs1	-2.1151903872361925e-4	37.1332938929224	0.9993478786299927	0.9997014632078782
120	Slc25a5	1.4566643135413034e-4	227.21770191278415	0.9995700395056678	0.9996878994325048
120	Mrpl23-ps1	-1.5692798061796369e-4	67.3900246273584	0.9994419635044696	0.9996776809486922
89	Crym	1.6498928351920916e-4	70.71066614967418	0.999190960943758	0.999662388620542
89	Tom1	3.419100938434315e-4	12.589222898901	0.999180728642648	0.999662388620542
89	Klhl18	3.5718328687967996e-4	11.02287866977426	0.999100552988551	0.999662388620542
89	Osbpl9	3.289510072921629e-4	13.889334756155623	0.9990749972613042	0.999662388620542
89	Cebpzos	3.2917802198961907e-4	12.00751394203092	0.9990671855036588	0.999662388620542
89	Mrpl57	2.598759237102416e-4	26.94176447130857	0.9990615281694756	0.999662388620542
89	Naa20	-3.0334104675352157e-4	37.37274257742416	0.998995030866756	0.999662388620542
89	Hs2st1	3.05254117133913e-4	24.141315949515057	0.9988957157809816	0.999662388620542
89	Rnf170	4.7992506054111544e-4	15.001181579166545	0.9986764278440092	0.999662388620542
89	Pgbd5	-3.0885925514712926e-4	61.47109194834685	0.9984590708417352	0.999662388620542
89	Scp2-ps2	5.166105504718601e-4	103.1522433543806	0.9980855751577106	0.999662388620542
89	Slc39a12	6.931111060619101e-4	15.536175311006136	0.9980676624742032	0.999662388620542
89	Fbxo8	7.969533069626586e-4	9.725288509586928	0.9980517447145362	0.999662388620542
89	Ppil4	-6.171008503801432e-4	20.859076655282426	0.9979564484950446	0.999662388620542
89	Arid4a	8.336243587950879e-4	16.96804617460615	0.997942732344416	0.999662388620542
89	Phf21b	-0.00102881366358094	9.177297439486194	0.9977115979284508	0.999662388620542
89	Dkk3	4.559169211131414e-4	78.22583005083217	0.9975990602747882	0.999662388620542
89	Txnl4a	7.805553608742345e-4	22.615202993346003	0.9974939959104464	0.999662388620542
89	Ift81	8.329861586163836e-4	17.603774056504786	0.9974001282329884	0.999662388620542
89	Cdk2ap1	-4.923030824616263e-4	130.78190968866963	0.997374650517314	0.999662388620542
89	Abhd6	-6.660410447721901e-4	35.9282277076916	0.9973690809941714	0.999662388620542
