gene	meanexp	l2fc	pval	celltype	color
Apoe	54.63426964028998	5.343269755707509	7.766364563068196e-149	3_astrocyte	#F0A804
Appl2	4.124279505008479	4.719794016093111	3.380298653060093e-104	3_astrocyte	#F0A804
Aqp4	3.674692955342464	6.929648894366504	3.316823432118268e-292	3_astrocyte	#F0A804
Arhgap12	1.369832890919056	2.5691557794415	2.8482892097509e-4	2_microglia	#CD00CD
Arhgap22	1.8043671452318224	4.026685980838239	5.50584795759315e-15	2_microglia	#CD00CD
Arhgap23	5.246799274764525	3.8729521750179714	1.8513698439073143e-25	1_oligodendrocyte	#37FDFC
Arhgap31	1.2691415581353047	2.4152456961683004	0.00117553041308044	2_microglia	#CD00CD
Arhgap45	4.572571112297415	10.174845599767153	0	2_microglia	#CD00CD
Arhgap5	5.87466323933796	2.4248786209406985	4.14622788227365e-17	3_astrocyte	#F0A804
Arhgef10	2.5995336748466915	5.075410397901152	2.2934026740649368e-60	1_oligodendrocyte	#37FDFC
Arhgef26	2.624836959846359	5.7751182541222885	2.6380260978276273e-184	3_astrocyte	#F0A804
Arhgef28	1.857832594713447	3.050610002208458	1.2678243481644212e-12	1_oligodendrocyte	#37FDFC
Arhgef4	2.0993180487800163	2.6928315625443755	3.2461680686993843e-22	3_astrocyte	#F0A804
Arrdc3	1.4059703707066369	3.8498294956425743	9.342273937633472e-25	1_oligodendrocyte	#37FDFC
Arsg	1.1686366321584587	3.871191634176712	4.447996723401069e-25	1_oligodendrocyte	#37FDFC
Aspa	7.817693794568532	7.776755221891214	4.6335699492050846e-254	1_oligodendrocyte	#37FDFC
Asrgl1	2.6650190654901125	3.805959319093443	2.3431121508178593e-56	3_astrocyte	#F0A804
Atl2	1.2781455074623311	2.3230956358547603	2.351521548645705e-15	3_astrocyte	#F0A804
Atp11a	1.3216439697476192	2.6517161985975872	1.2325415891131593e-8	1_oligodendrocyte	#37FDFC
Atp13a4	1.6701180085950231	7.188370064143726	0	3_astrocyte	#F0A804
Atp1a2	14.95384940376525	5.502080702920343	9.863180664963178e-162	3_astrocyte	#F0A804
Atp1b2	2.9198011912263624	4.358461036551837	8.75281429972535e-83	3_astrocyte	#F0A804
B2m	1.294987461737551	3.070039365721726	8.938608256051065e-7	2_microglia	#CD00CD
B3galt5	1.4892360622196288	4.376239543092477	8.92271069259109e-37	1_oligodendrocyte	#37FDFC
B430010I23Rik	1.4096786589725192	3.3409057738133106	1.3305968667505717e-8	2_microglia	#CD00CD
B4galt1	1.6471378983181575	4.228917836167622	1.9127464924943638e-17	2_microglia	#CD00CD
Bank1	1.2007576048543611	5.779087399723135	1.1468282490910622e-49	2_microglia	#CD00CD
Bcan	5.0470891370721285	5.234095165965509	3.5953097670093764e-140	3_astrocyte	#F0A804
Bcar3	1.1642962081383632	3.500144597631483	3.1690691779117335e-44	3_astrocyte	#F0A804
Bcas1	5.8057931528198985	7.004299773545172	6.554863543257624e-180	1_oligodendrocyte	#37FDFC
Bcas1os2	1.0097953926161585	6.844368120089678	6.021225060170274e-159	1_oligodendrocyte	#37FDFC
Bcl2l1	3.1818631607146233	3.1142924803886487	2.0992377195836e-13	1_oligodendrocyte	#37FDFC
Bin1	7.083682857918971	3.430293825268928	1.0482747758088664e-17	1_oligodendrocyte	#37FDFC
Bin2	1.2912182674622237	9.77556226721265	3.431787794356327e-285	2_microglia	#CD00CD
Blnk	1.7747520473542486	4.022889609011967	5.50584795759315e-15	2_microglia	#CD00CD
Bmp2k	2.6260514972532376	4.137821910635583	1.514473736729613e-16	2_microglia	#CD00CD
Bmpr1b	3.6869051639204673	4.174649063670884	3.24746992799708e-73	3_astrocyte	#F0A804
Btbd17	2.0581510876057787	6.4192482176549674	3.901003946618715e-245	3_astrocyte	#F0A804
C030005K06Rik	1.1786750988834318	7.304690006297886	0	3_astrocyte	#F0A804
C030018K13Rik	1.0487726544125724	7.426436464535184	0	3_astrocyte	#F0A804
C030029H02Rik	5.079737537015529	8.739373765455358	0	1_oligodendrocyte	#37FDFC
C1qa	7.2099301923766355	8.005500608161336	2.227951722606189e-176	2_microglia	#CD00CD
C1qb	6.579397835746834	7.857197419482468	7.483247670598667e-165	2_microglia	#CD00CD
C1qc	6.348400072301757	8.225978015966653	3.876280178994138e-195	2_microglia	#CD00CD
Cables1	1.3648127941449364	2.597711147037165	3.1706139062694385e-20	3_astrocyte	#F0A804
Car14	1.1317769789090768	6.932561560914884	8.970292052274086e-169	1_oligodendrocyte	#37FDFC
Car2	10.85423976117768	6.160750147501718	6.812949782842242e-118	1_oligodendrocyte	#37FDFC
Caskin1	1.5384428241692922	2.0760165001302053	8.589006754609984e-12	3_astrocyte	#F0A804
Ccdc141	1.783770336812894	4.908236958859774	5.04199744704711e-115	3_astrocyte	#F0A804
Ccnd3	3.398197867370347	4.755699371933231	3.69323664967635e-26	2_microglia	#CD00CD
Ccp110	2.635332618650048	4.236456719298905	1.5907742875138228e-33	1_oligodendrocyte	#37FDFC
Ccr5	1.3660636966437285	6.416127938841993	3.490740063260787e-73	2_microglia	#CD00CD
Cd300c2	1.1899884783534254	8.982050470828618	2.1417523765762787e-224	2_microglia	#CD00CD
Cd33	1.190526934678472	10.033328904317068	8.23076066567799e-293	2_microglia	#CD00CD
Cd37	2.0908259101567195	8.84156270593287	5.322064485529397e-246	2_microglia	#CD00CD
Cd63	2.892225236372806	4.651468500747749	9.933913308652564e-100	3_astrocyte	#F0A804
