display_name	gtox_score	n_gtox
ASO 2 + MsPA (design 1)	8.783226859432435	38
ASO 2 + full 2'MOE	9.110813865825893	38
ASO 2 + 2'OMe gap position 2	19.257193115646093	38
ASO 2	48.85907245861061	38
