gene	gene_length_bp	base_mean	log2fold_change	padj
Pcdhga6	134834	4.214795767796591	4.2326717645397417e-4	0.999982134794756
Pdgfrl	64573	2.594809986794977	4.105331534971895e-4	0.999982134794756
Pgr15l	9508	1.4077139522626658	0.00301028310339877	0.999982134794756
Pi15	29038	0.9784967274972544	0.00120886007932655	0.999982134794756
Rbm7	6598	25.679839205644747	4.976712762302064e-4	0.999982134794756
Rdh7	4789	14.955477066982432	-0.0010441133174149	0.999982134794756
Rrp1b	26765	27.59228815561425	4.2285045699864e-4	0.999982134794756
Rrp7a	9368	124.37789286088184	3.838980089933565e-4	0.999982134794756
Sdhb	17990	366.88294826879286	-2.853163211272708e-5	0.999982134794756
Senp3	8969	17.099874297342872	-3.4513280355219776e-4	0.999982134794756
Slc2a2	33456	3.4433951784162455	5.6915498519766706e-5	0.999982134794756
Slc35f5	35225	20.49179224158944	-3.6954589659756e-4	0.999982134794756
Slc9a4	50644	1.5278132732615333	6.538602398390044e-4	0.999982134794756
Smap2	48930	153.88569257158605	2.1036383285552205e-4	0.999982134794756
Sntg2	198893	4.101950598667924	0.00111317729058395	0.999982134794756
St18	373709	13.936518183732826	7.291215721024228e-4	0.999982134794756
Sypl	25969	81.76266112553846	3.676932209311121e-4	0.999982134794756
Thumpd2	38750	5.3304193804288245	-4.5746827236105617e-4	0.999982134794756
Tll1	191340	1.313862664652132	0.00101925016689779	0.999982134794756
Top1mt	21765	15.63851113270283	1.06155622734565e-5	0.999982134794756
Trim68	9745	5.155405646828771	-0.00122067317905186	0.999982134794756
Tuba1a	3866	3274.031469518163	1.174368737426548e-4	0.999982134794756
Uimc1	72420	28.840950708378603	-7.006541727570669e-4	0.999982134794756
Xlr3a	10802	7.0300047288715355	3.023291424462294e-4	0.999982134794756
Zbtb7c	328386	7.633599486674604	-8.864509675195856e-4	0.999982134794756
Zfp532	109531	49.25789935103932	-2.002239960616949e-4	0.999982134794756
Zfp697	371351	20.72390105728747	-3.3249913540701214e-4	0.999982134794756
Zfp971	10738	2.9886207096753257	0.00168451102111058	0.999982134794756
Cyp7a1	10021	1.0620764299139978	-0.00347798556314042	0.999930715748035
Nptxr	18415	1236.2239952945015	3.450524275408646e-4	0.999930715748035
Vrk3	29102	39.737866068749014	-6.563588821753708e-4	0.999930715748035
Gm3636	6647	1.7762392691286382	-0.00281951940414567	0.9998121375422128
Klhl33	8925	66.84437395652617	5.838442847630353e-4	0.9998121375422128
Rtel1	36877	13.548759906589584	0.00112585745529262	0.9995378116385512
Amacr	14870	16.624933380202723	-0.00100605986289551	0.999507214647215
2900072N19Rik	4380	1.012667889403462	-0.00449936787121062	0.9994649192169734
Acin1	44770	184.68571127313464	4.486986732152143e-4	0.9994649192169734
Mcub	55246	5.438327169886446	0.00184797956191717	0.9994649192169734
Panx1	43350	26.51264167815908	-9.896700163860934e-4	0.9994649192169734
Ephb3	18550	59.64105520655854	0.00105691532410994	0.999435980599718
Rp9	58696	87.72390786845388	5.419978841537524e-4	0.999435980599718
Tor2a	5010	12.587656850756453	-0.00216654885638848	0.9993887681876872
Fam220a	15825	1.903342865692439	-0.00334752555761809	0.999376385236492
Gpcpd1	58647	57.28985651869372	6.240702207058105e-4	0.999376385236492
Pdcd10	40366	34.19071551889067	9.245249299143012e-4	0.999376385236492
Prpsap2	32438	34.32583976388344	8.444832492228591e-4	0.999376385236492
Rasal2	277413	31.533834003100832	-8.789581288377156e-4	0.999376385236492
Ciao1	6878	92.5288914371692	5.953713160485042e-4	0.9993584177209928
