ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000105650	PDE4C	-2.42e-01	6.12e-01	protein_coding
ENSG00000156273	BACH1	-2.57e-01	4.11e-01	protein_coding
ENSG00000133816	MICAL2	-1.23e-01	8.25e-01	protein_coding
ENSG00000114854	TNNC1	-4.85e-01	8.45e-03	protein_coding
ENSG00000150510	FAM124A	 2.17e-01	5.51e-01	protein_coding
ENSG00000114270	COL7A1	 3.73e-01	3.63e-01	protein_coding
ENSG00000244754	N4BP2L2	 2.28e-01	5.24e-01	protein_coding
ENSG00000204564	C6orf136	 4.67e-01	6.99e-03	protein_coding
ENSG00000154767	XPC	 2.70e-01	3.64e-01	protein_coding
ENSG00000172936	MYD88	 2.58e-01	3.89e-01	protein_coding
ENSG00000104231	ZFAND1	 1.08e-01	7.91e-01	protein_coding
ENSG00000270141	TERC	 8.59e-03	9.92e-01	lncRNA
ENSG00000187650	VMAC	-3.47e-01	3.67e-01	protein_coding
ENSG00000166387	PPFIBP2	-6.97e-02	8.86e-01	protein_coding
ENSG00000198792	TMEM184B	 4.52e-01	2.10e-02	protein_coding
ENSG00000142623	PADI1	-6.66e-02	9.14e-01	protein_coding
ENSG00000184378	ACTRT3	-2.99e-01	4.34e-01	protein_coding
ENSG00000014138	POLA2	-1.88e-03	9.96e-01	protein_coding
ENSG00000167113	COQ4	 7.05e-02	7.52e-01	protein_coding
ENSG00000173960	UBXN2A	 2.62e-01	4.68e-01	protein_coding
ENSG00000170860	LSM3	 9.70e-02	7.37e-01	protein_coding
ENSG00000168303	MPLKIP	-2.47e-01	1.96e-01	protein_coding
ENSG00000149798	CDC42EP2	 4.15e-01	2.12e-02	protein_coding
ENSG00000146085	MMUT	-2.72e-01	5.07e-01	protein_coding
ENSG00000184908	CLCNKB	-4.13e-01	1.18e-01	protein_coding
ENSG00000167711	SERPINF2	-2.86e-01	3.94e-01	protein_coding
ENSG00000196689	TRPV1	 1.46e-01	7.89e-01	protein_coding
ENSG00000138613	APH1B	 2.36e-01	5.75e-01	protein_coding
ENSG00000137274	BPHL	-2.04e-01	4.81e-01	protein_coding
ENSG00000170876	TMEM43	 3.12e-01	9.81e-02	protein_coding
ENSG00000131473	ACLY	 4.52e-02	8.64e-01	protein_coding
ENSG00000141959	PFKL	-2.92e-01	1.67e-01	protein_coding
ENSG00000275198	AL512791.2	 5.17e-02	9.33e-01	lncRNA
ENSG00000204560	DHX16	-8.00e-02	7.64e-01	protein_coding
ENSG00000126778	SIX1	 2.91e-01	4.43e-01	protein_coding
ENSG00000101444	AHCY	-3.08e-01	1.05e-01	protein_coding
ENSG00000104442	ARMC1	 9.97e-02	8.22e-01	protein_coding
ENSG00000204316	MRPL38	-1.85e-01	4.51e-01	protein_coding
ENSG00000157510	AFAP1L1	 3.50e-03	9.96e-01	protein_coding
ENSG00000160285	LSS	 1.14e-01	5.99e-01	protein_coding
ENSG00000102606	ARHGEF7	 1.03e-02	9.81e-01	protein_coding
ENSG00000140983	RHOT2	-1.08e-01	6.67e-01	protein_coding
ENSG00000180611	MB21D2	 3.38e-01	4.05e-01	protein_coding
ENSG00000169609	C15orf40	-2.38e-01	2.24e-01	protein_coding
ENSG00000184545	DUSP8	 5.52e-01	2.29e-02	protein_coding
ENSG00000134490	TMEM241	-3.12e-01	2.65e-01	protein_coding
ENSG00000112576	CCND3	 3.76e-02	9.02e-01	protein_coding
ENSG00000169750	RAC3	-4.44e-01	3.03e-02	protein_coding
ENSG00000104998	IL27RA	-6.00e-02	8.77e-01	protein_coding
ENSG00000079785	DDX1	-3.79e-01	2.50e-01	protein_coding
ENSG00000112902	SEMA5A	 3.85e-01	2.75e-01	protein_coding
ENSG00000279602	AC109326.1	 6.06e-01	7.51e-04	TEC
ENSG00000119684	MLH3	-5.36e-01	1.43e-01	protein_coding
ENSG00000123545	NDUFAF4	-2.29e-01	6.09e-01	protein_coding
ENSG00000109861	CTSC	 7.32e-02	7.96e-01	protein_coding
ENSG00000125898	FAM110A	 3.21e-01	3.51e-01	protein_coding
ENSG00000035928	RFC1	 3.24e-01	4.39e-01	protein_coding
ENSG00000011275	RNF216	 2.39e-01	3.26e-01	protein_coding
ENSG00000100625	SIX4	-3.86e-01	2.66e-01	protein_coding
ENSG00000103942	HOMER2	-2.43e-01	4.18e-01	protein_coding
ENSG00000188825	LINC00910	 2.13e-01	4.67e-01	lncRNA
ENSG00000077458	FAM76B	 2.73e-01	4.21e-01	protein_coding
ENSG00000132429	POPDC3	 7.80e-02	8.96e-01	protein_coding
ENSG00000130312	MRPL34	 2.06e-03	9.96e-01	protein_coding
ENSG00000068028	RASSF1	-2.44e-01	2.11e-01	protein_coding
ENSG00000158122	PRXL2C	 1.45e-01	6.61e-01	protein_coding
ENSG00000180628	PCGF5	 1.85e-01	5.79e-01	protein_coding
ENSG00000088854	C20orf194	 1.06e-01	8.37e-01	protein_coding
ENSG00000153879	CEBPG	-1.87e-01	6.20e-01	protein_coding
ENSG00000102786	INTS6	-1.90e-01	5.31e-01	protein_coding
ENSG00000141854	MISP3	-1.91e-01	6.36e-01	protein_coding
ENSG00000034693	PEX3	-3.39e-01	3.90e-01	protein_coding
ENSG00000127220	ABHD8	-2.09e-01	3.15e-01	protein_coding
ENSG00000198668	CALM1	-2.91e-02	9.39e-01	protein_coding
ENSG00000138801	PAPSS1	-1.14e-01	7.35e-01	protein_coding
ENSG00000145982	FARS2	-6.12e-01	1.22e-06	protein_coding
ENSG00000130311	DDA1	-1.17e-02	9.75e-01	protein_coding
ENSG00000001036	FUCA2	 1.59e-01	3.70e-01	protein_coding
ENSG00000188002	AC026412.1	-9.91e-02	8.23e-01	transcribed_unprocessed_pseudogene
ENSG00000188878	FBF1	-9.11e-02	7.75e-01	protein_coding
ENSG00000107890	ANKRD26	-3.36e-01	3.96e-01	protein_coding
ENSG00000281358	RASSF1-AS1	 2.34e-01	6.06e-01	lncRNA
ENSG00000184009	ACTG1	 2.05e-01	3.36e-01	protein_coding
ENSG00000164048	ZNF589	-1.03e-01	8.34e-01	protein_coding
ENSG00000074855	ANO8	 1.10e-01	8.22e-01	protein_coding
ENSG00000145016	RUBCN	 4.59e-01	7.36e-02	protein_coding
