ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000186642	PDE2A	 2.28e-01	2.14e-01	protein_coding
ENSG00000132199	ENOSF1	-4.49e-01	3.45e-02	protein_coding
ENSG00000101236	RNF24	 3.48e-01	1.01e-01	protein_coding
ENSG00000140481	CCDC33	-1.43e-01	6.17e-01	protein_coding
ENSG00000137200	CMTR1	 9.91e-02	7.02e-01	protein_coding
ENSG00000205808	PLPP6	 5.77e-02	9.23e-01	protein_coding
ENSG00000101052	IFT52	 2.51e-02	9.51e-01	protein_coding
ENSG00000117906	RCN2	 6.02e-02	8.66e-01	protein_coding
ENSG00000111652	COPS7A	-1.96e-01	2.79e-01	protein_coding
ENSG00000259062	ACTN1-AS1	 9.23e-03	9.91e-01	lncRNA
ENSG00000276141	WHAMMP3	 1.20e-01	8.06e-01	transcribed_unprocessed_pseudogene
ENSG00000078618	NRDC	-1.99e-01	4.66e-01	protein_coding
ENSG00000108883	EFTUD2	-6.79e-02	7.56e-01	protein_coding
ENSG00000159263	SIM2	 2.56e-01	5.23e-01	protein_coding
ENSG00000234362	LINC01914	 8.27e-02	8.70e-01	lncRNA
ENSG00000167112	TRUB2	-4.80e-01	4.70e-03	protein_coding
ENSG00000106688	SLC1A1	 1.65e-01	6.90e-01	protein_coding
ENSG00000184076	UQCR10	 1.17e-01	5.30e-01	protein_coding
ENSG00000198356	ASNA1	-4.54e-01	7.46e-03	protein_coding
ENSG00000006695	COX10	 1.50e-01	6.20e-01	protein_coding
ENSG00000108578	BLMH	 6.04e-02	8.55e-01	protein_coding
ENSG00000004961	HCCS	-2.59e-01	7.97e-02	protein_coding
ENSG00000145506	NKD2	 1.05e-01	8.57e-01	protein_coding
ENSG00000006638	TBXA2R	 3.50e-01	1.93e-01	protein_coding
ENSG00000169139	UBE2V2	-2.67e-01	4.97e-01	protein_coding
ENSG00000108852	MPP2	 1.62e-02	9.61e-01	protein_coding
ENSG00000155893	PXYLP1	 4.28e-01	2.33e-01	protein_coding
ENSG00000092208	GEMIN2	 7.85e-02	8.61e-01	protein_coding
ENSG00000082269	FAM135A	 1.42e-01	7.95e-01	protein_coding
ENSG00000175854	SWI5	-3.30e-01	6.59e-02	protein_coding
ENSG00000171314	PGAM1	-2.31e-01	7.19e-02	protein_coding
ENSG00000088325	TPX2	 1.22e-01	6.23e-01	protein_coding
ENSG00000078699	CBFA2T2	-2.68e-02	9.66e-01	protein_coding
ENSG00000110321	EIF4G2	 8.29e-02	7.89e-01	protein_coding
ENSG00000180448	ARHGAP45	-2.05e-01	4.55e-01	protein_coding
ENSG00000261740	BOLA2-SMG1P6	-5.69e-02	8.45e-01	protein_coding
ENSG00000183336	BOLA2	 6.24e-02	8.54e-01	protein_coding
ENSG00000124659	TBCC	-1.05e-01	7.19e-01	protein_coding
ENSG00000214447	FAM187A	 1.41e-01	7.08e-01	protein_coding
ENSG00000049449	RCN1	 7.92e-02	7.95e-01	protein_coding
ENSG00000112624	BICRAL	 2.14e-01	5.50e-01	protein_coding
ENSG00000185621	LMLN	-1.99e-01	6.60e-01	protein_coding
ENSG00000119335	SET	-2.42e-01	2.82e-01	protein_coding
ENSG00000078401	EDN1	 2.12e-01	6.63e-01	protein_coding
ENSG00000213648	SULT1A4	-1.51e-01	5.50e-01	protein_coding
ENSG00000254634	SMG1P6	-7.14e-02	9.07e-01	unprocessed_pseudogene
ENSG00000129625	REEP5	-1.43e-01	4.32e-01	protein_coding
ENSG00000212802	RPL15P3	-2.41e-01	6.13e-01	processed_pseudogene
ENSG00000167311	ART5	-1.77e-01	5.93e-01	protein_coding
ENSG00000145029	NICN1	 5.09e-01	1.62e-02	protein_coding
ENSG00000138002	IFT172	-2.54e-01	4.22e-01	protein_coding
ENSG00000145703	IQGAP2	-5.60e-02	9.25e-01	protein_coding
ENSG00000280191	LINC01669	-1.32e-01	7.96e-01	lncRNA
ENSG00000243789	JMJD7	-1.73e-01	6.64e-01	protein_coding
ENSG00000177311	ZBTB38	-1.63e-01	6.57e-01	protein_coding
ENSG00000181625	SLX1B	-1.09e-01	7.96e-01	protein_coding
ENSG00000131100	ATP6V1E1	-2.35e-01	4.45e-01	protein_coding
ENSG00000261279	ULK4P1	 4.03e-01	2.99e-01	transcribed_unprocessed_pseudogene
ENSG00000108590	MED31	 1.02e-01	7.24e-01	protein_coding
ENSG00000131931	THAP1	 1.41e-01	7.67e-01	protein_coding
ENSG00000169710	FASN	 4.92e-01	4.87e-03	protein_coding
ENSG00000095397	WHRN	 2.66e-01	4.23e-01	protein_coding
ENSG00000113552	GNPDA1	 4.12e-02	8.81e-01	protein_coding
ENSG00000103966	EHD4	 3.76e-01	1.16e-01	protein_coding
ENSG00000172123	SLFN12	 8.30e-02	8.75e-01	protein_coding
ENSG00000129235	TXNDC17	 1.35e-01	5.62e-01	protein_coding
ENSG00000146223	RPL7L1	-3.67e-01	1.13e-02	protein_coding
ENSG00000171311	EXOSC1	-8.35e-02	7.71e-01	protein_coding
ENSG00000153037	SRP19	 5.14e-02	9.16e-01	protein_coding
ENSG00000164086	DUSP7	 2.98e-01	3.05e-01	protein_coding
ENSG00000176890	TYMS	-6.68e-03	9.83e-01	protein_coding
ENSG00000140006	WDR89	 2.66e-02	9.70e-01	protein_coding
ENSG00000213654	GPSM3	-2.44e-01	5.69e-01	protein_coding
ENSG00000168970	JMJD7-PLA2G4B	 1.73e-01	7.18e-01	protein_coding
ENSG00000185015	CA13	 7.29e-01	2.20e-02	protein_coding
ENSG00000198920	KIAA0753	 1.03e-01	8.39e-01	protein_coding
ENSG00000165417	GTF2A1	-7.77e-02	8.79e-01	protein_coding
ENSG00000270673	YTHDF3-AS1	-3.45e-02	9.39e-01	lncRNA
ENSG00000204301	NOTCH4	-1.91e-01	6.98e-01	protein_coding
ENSG00000273783	AL136040.1	 2.61e-02	9.69e-01	lncRNA
ENSG00000048471	SNX29	-7.79e-01	2.31e-04	protein_coding
ENSG00000164733	CTSB	-1.29e-02	9.74e-01	protein_coding
ENSG00000162878	PKDCC	-1.33e-01	5.79e-01	protein_coding
ENSG00000167693	NXN	 1.04e-01	7.61e-01	protein_coding
ENSG00000164402	SEPT8	-1.66e-01	5.18e-01	protein_coding
ENSG00000109911	ELP4	-3.00e-01	2.64e-01	protein_coding
ENSG00000167110	GOLGA2	 1.05e-01	6.96e-01	protein_coding
ENSG00000159363	ATP13A2	 9.96e-02	7.07e-01	protein_coding
ENSG00000157927	RADIL	 1.52e-01	7.78e-01	protein_coding
ENSG00000134982	APC	-5.70e-01	9.31e-02	protein_coding
ENSG00000185728	YTHDF3	-2.95e-01	3.69e-01	protein_coding
ENSG00000246089	AC016065.1	 1.27e-01	6.68e-01	lncRNA
ENSG00000138794	CASP6	-2.37e-01	5.24e-01	protein_coding
ENSG00000151553	FAM160B1	-1.43e-01	7.61e-01	protein_coding
ENSG00000026025	VIM	 1.90e-01	2.14e-01	protein_coding
ENSG00000278023	RDM1	-1.09e-01	8.06e-01	protein_coding
ENSG00000183978	COA3	-1.04e-01	6.68e-01	protein_coding
ENSG00000167930	FAM234A	 3.69e-01	2.22e-02	protein_coding
ENSG00000068697	LAPTM4A	 4.21e-02	8.91e-01	protein_coding
ENSG00000229124	VIM-AS1	 3.84e-02	9.53e-01	lncRNA
ENSG00000112159	MDN1	-2.41e-01	2.52e-01	protein_coding
ENSG00000147316	MCPH1	 2.44e-01	5.45e-01	protein_coding
ENSG00000005059	MCUB	-2.13e-02	9.64e-01	protein_coding
ENSG00000160299	PCNT	 9.23e-02	7.59e-01	protein_coding
ENSG00000175265	GOLGA8A	 2.60e-01	5.57e-01	protein_coding
ENSG00000126821	SGPP1	-1.34e-01	7.55e-01	protein_coding
ENSG00000056097	ZFR	-2.51e-02	9.50e-01	protein_coding
ENSG00000277534	AC007996.1	 1.61e-01	7.61e-01	lncRNA
ENSG00000197312	DDI2	-3.85e-01	2.67e-01	protein_coding
ENSG00000168092	PAFAH1B2	 7.51e-02	8.14e-01	protein_coding
ENSG00000277791	PSMB3	-2.63e-01	1.84e-01	protein_coding
ENSG00000170113	NIPA1	-1.37e-01	7.61e-01	protein_coding
ENSG00000174579	MSL2	 1.32e-02	9.85e-01	protein_coding
ENSG00000272269	AL138724.1	 9.21e-03	9.88e-01	lncRNA
ENSG00000118518	RNF146	 3.65e-02	9.58e-01	protein_coding
ENSG00000174652	ZNF266	 1.89e-01	6.75e-01	protein_coding
ENSG00000110092	CCND1	-2.38e-01	5.90e-01	protein_coding
ENSG00000182400	TRAPPC6B	-1.61e-01	7.50e-01	protein_coding
ENSG00000109670	FBXW7	-2.67e-01	3.64e-01	protein_coding
ENSG00000149716	LTO1	 2.87e-02	9.37e-01	protein_coding
ENSG00000113621	TXNDC15	 1.21e-02	9.80e-01	protein_coding
ENSG00000148985	PGAP2	 3.17e-01	2.62e-02	protein_coding
ENSG00000139990	DCAF5	-1.93e-02	9.70e-01	protein_coding
ENSG00000147454	SLC25A37	 1.40e-01	5.79e-01	protein_coding
ENSG00000203722	RAET1G	 5.14e-03	9.94e-01	protein_coding
ENSG00000084070	SMAP2	 1.54e-01	6.86e-01	protein_coding
ENSG00000134504	KCTD1	 1.50e-01	7.19e-01	protein_coding
ENSG00000124789	NUP153	 1.06e-02	9.80e-01	protein_coding
ENSG00000120256	LRP11	-1.13e-01	7.02e-01	protein_coding
ENSG00000132467	UTP3	-4.39e-01	1.39e-01	protein_coding
ENSG00000078246	TULP3	 5.36e-01	1.21e-02	protein_coding
ENSG00000140022	STON2	-4.29e-01	1.02e-01	protein_coding
ENSG00000164087	POC1A	-1.28e-01	6.47e-01	protein_coding
ENSG00000140577	CRTC3	 2.45e-01	1.30e-01	protein_coding
ENSG00000105298	CACTIN	-7.34e-02	8.24e-01	protein_coding
ENSG00000119414	PPP6C	 1.21e-01	5.86e-01	protein_coding
ENSG00000113504	SLC12A7	 2.85e-01	1.09e-01	protein_coding
ENSG00000115884	SDC1	 1.50e-01	5.12e-01	protein_coding
ENSG00000226800	CACTIN-AS1	 2.07e-02	9.77e-01	lncRNA
ENSG00000018189	RUFY3	-2.49e-01	5.63e-01	protein_coding
ENSG00000167034	NKX3-1	-1.08e-02	9.89e-01	protein_coding
ENSG00000141968	VAV1	-3.76e-01	1.21e-01	protein_coding
ENSG00000099331	MYO9B	-1.54e-01	7.08e-01	protein_coding
ENSG00000119820	YIPF4	-3.44e-01	1.38e-01	protein_coding
ENSG00000111206	FOXM1	 7.43e-01	7.94e-11	protein_coding
ENSG00000134690	CDCA8	 2.02e-01	2.34e-01	protein_coding
ENSG00000009950	MLXIPL	-7.70e-02	8.57e-01	protein_coding
ENSG00000137154	RPS6	-1.15e-01	6.06e-01	protein_coding
ENSG00000156374	PCGF6	-1.83e-02	9.73e-01	protein_coding
ENSG00000101057	MYBL2	-1.50e-02	9.70e-01	protein_coding
ENSG00000183527	PSMG1	-2.43e-01	2.91e-01	protein_coding
ENSG00000100941	PNN	 1.01e-01	7.47e-01	protein_coding
ENSG00000008130	NADK	-1.61e-01	3.19e-01	protein_coding
ENSG00000095002	MSH2	-9.68e-01	3.59e-04	protein_coding
ENSG00000169855	ROBO1	 1.34e-01	6.59e-01	protein_coding
ENSG00000120265	PCMT1	-2.95e-01	8.89e-02	protein_coding
ENSG00000105364	MRPL4	-6.50e-02	8.01e-01	protein_coding
ENSG00000261514	LINC01976	 1.21e-01	8.29e-01	lncRNA
ENSG00000110713	NUP98	 2.22e-01	2.33e-01	protein_coding
ENSG00000103381	CPPED1	-3.58e-01	2.15e-01	protein_coding
ENSG00000132570	PCBD2	 1.40e-01	6.92e-01	protein_coding
ENSG00000165832	TRUB1	-3.09e-01	3.60e-01	protein_coding
ENSG00000204370	SDHD	 2.43e-02	9.62e-01	protein_coding
ENSG00000225733	FGD5-AS1	 7.20e-02	8.46e-01	lncRNA
ENSG00000165661	QSOX2	 3.36e-01	3.30e-02	protein_coding
ENSG00000205403	CFI	-3.94e-01	3.33e-01	protein_coding
ENSG00000135387	CAPRIN1	-2.44e-01	2.23e-01	protein_coding
ENSG00000279799	AC006077.2	-2.05e-02	9.76e-01	TEC
ENSG00000177463	NR2C2	-1.52e-01	6.99e-01	protein_coding
ENSG00000151065	DCP1B	-1.26e-01	7.76e-01	protein_coding
ENSG00000060237	WNK1	 4.57e-01	3.72e-02	protein_coding
ENSG00000164520	RAET1E	-1.85e-01	5.49e-01	protein_coding
ENSG00000090339	ICAM1	 5.15e-01	5.47e-03	protein_coding
ENSG00000272323	AC026801.2	 1.75e-01	7.12e-01	lncRNA
ENSG00000137767	SQOR	-2.98e-01	1.22e-01	protein_coding
ENSG00000065308	TRAM2	 5.36e-01	2.28e-02	protein_coding
ENSG00000118985	ELL2	-1.86e-01	6.58e-01	protein_coding
ENSG00000158555	GDPD5	-1.83e-01	6.75e-01	protein_coding
ENSG00000150782	IL18	 5.08e-02	8.95e-01	protein_coding
ENSG00000123739	PLA2G12A	-2.38e-01	4.61e-01	protein_coding
ENSG00000160058	BSDC1	 3.49e-02	9.11e-01	protein_coding
ENSG00000004478	FKBP4	-2.66e-01	7.36e-02	protein_coding
ENSG00000145979	TBC1D7	 1.17e-01	6.04e-01	protein_coding
ENSG00000140750	ARHGAP17	 6.86e-01	1.30e-04	protein_coding
ENSG00000143870	PDIA6	 4.57e-03	9.89e-01	protein_coding
ENSG00000096093	EFHC1	-1.08e-01	8.06e-01	protein_coding
ENSG00000104164	BLOC1S6	 1.40e-01	7.38e-01	protein_coding
ENSG00000120253	NUP43	-3.55e-01	1.40e-01	protein_coding
ENSG00000105700	KXD1	-1.51e-01	5.06e-01	protein_coding
ENSG00000184307	ZDHHC23	-2.92e-01	3.57e-01	protein_coding
ENSG00000113971	NPHP3	-4.61e-01	1.95e-01	protein_coding
ENSG00000164307	ERAP1	-6.15e-01	1.97e-02	protein_coding
ENSG00000070785	EIF2B3	-5.06e-01	3.76e-03	protein_coding
ENSG00000125834	STK35	 2.64e-01	3.76e-01	protein_coding
ENSG00000139977	NAA30	-2.86e-01	5.20e-01	protein_coding
ENSG00000151576	QTRT2	-1.55e-01	6.59e-01	protein_coding
ENSG00000272631	AC067750.1	 1.89e-01	6.37e-01	lncRNA
ENSG00000136940	PDCL	-5.76e-01	7.06e-04	protein_coding
ENSG00000119392	GLE1	-2.98e-01	8.58e-02	protein_coding
ENSG00000159692	CTBP1	-2.32e-01	2.22e-01	protein_coding
ENSG00000142279	WTIP	-5.38e-01	4.24e-02	protein_coding
ENSG00000143882	ATP6V1C2	-1.09e-01	7.69e-01	protein_coding
ENSG00000116209	TMEM59	-1.37e-02	9.72e-01	protein_coding
ENSG00000136235	GPNMB	 4.30e-01	9.95e-02	protein_coding
ENSG00000127483	HP1BP3	-1.18e-01	5.96e-01	protein_coding
ENSG00000196810	CTBP1-DT	 1.79e-01	5.96e-01	lncRNA
ENSG00000139517	LNX2	-1.99e-01	6.56e-01	protein_coding
ENSG00000115760	BIRC6	-3.75e-01	6.70e-02	protein_coding
ENSG00000215154	AC141586.1	-4.55e-01	2.34e-01	transcribed_unprocessed_pseudogene
ENSG00000234327	AC012146.1	 3.06e-01	2.19e-01	lncRNA
ENSG00000178202	KDELC2	-7.89e-02	8.76e-01	protein_coding
ENSG00000177370	TIMM22	-1.85e-01	3.44e-01	protein_coding
ENSG00000168803	ADAL	 2.90e-01	4.72e-01	protein_coding
ENSG00000015676	NUDCD3	-1.72e-02	9.63e-01	protein_coding
ENSG00000175426	PCSK1	 5.10e-02	9.02e-01	protein_coding
ENSG00000184640	SEPT9	 1.63e-01	4.81e-01	protein_coding
ENSG00000176532	PRR15	 2.20e-01	5.88e-01	protein_coding
ENSG00000081307	UBA5	-1.79e-02	9.80e-01	protein_coding
ENSG00000086065	CHMP5	-2.28e-01	3.21e-01	protein_coding
ENSG00000153113	CAST	 1.12e-01	7.07e-01	protein_coding
ENSG00000143924	EML4	-3.88e-01	1.05e-01	protein_coding
ENSG00000025796	SEC63	-2.27e-02	9.72e-01	protein_coding
ENSG00000227855	DPY19L2P3	 1.05e-01	8.55e-01	transcribed_unprocessed_pseudogene
ENSG00000170468	RIOX1	-2.58e-01	2.19e-01	protein_coding
ENSG00000160446	ZDHHC12	-1.21e-01	5.66e-01	protein_coding
ENSG00000127804	METTL16	 3.16e-01	3.08e-01	protein_coding
ENSG00000163634	THOC7	-4.30e-02	9.13e-01	protein_coding
ENSG00000184227	ACOT1	-7.21e-01	1.81e-09	protein_coding
ENSG00000151612	ZNF827	-4.01e-01	1.89e-01	protein_coding
ENSG00000161996	WDR90	-2.65e-01	2.43e-01	protein_coding
ENSG00000275993	SIK1B	 1.26e-01	6.88e-01	protein_coding
ENSG00000023330	ALAS1	 6.63e-02	7.87e-01	protein_coding
ENSG00000133247	KMT5C	 1.14e-01	7.15e-01	protein_coding
ENSG00000240303	ACAD11	-3.30e-01	3.66e-01	protein_coding
ENSG00000131368	MRPS25	-3.68e-01	3.08e-03	protein_coding
ENSG00000100105	PATZ1	 5.22e-01	5.85e-04	protein_coding
ENSG00000015133	CCDC88C	-6.30e-02	8.68e-01	protein_coding
ENSG00000168566	SNRNP48	-2.42e-01	5.13e-01	protein_coding
ENSG00000168522	FNTA	-1.42e-01	6.25e-01	protein_coding
ENSG00000160447	PKN3	-7.34e-02	7.63e-01	protein_coding
ENSG00000163635	ATXN7	 1.54e-01	7.58e-01	protein_coding
ENSG00000100100	PIK3IP1	 6.90e-01	6.57e-03	protein_coding
ENSG00000078369	GNB1	 3.73e-02	8.74e-01	protein_coding
ENSG00000227110	LMCD1-AS1	-3.47e-02	9.59e-01	lncRNA
ENSG00000136933	RABEPK	-3.39e-01	4.24e-02	protein_coding
ENSG00000167840	ZNF232	-3.68e-01	1.69e-01	protein_coding
ENSG00000161653	NAGS	-9.69e-02	8.67e-01	protein_coding
ENSG00000104763	ASAH1	 1.10e-01	7.36e-01	protein_coding
ENSG00000185361	TNFAIP8L1	 2.07e-01	5.33e-01	protein_coding
ENSG00000074842	MYDGF	-3.07e-01	1.76e-02	protein_coding
ENSG00000071537	SEL1L	 7.21e-02	8.90e-01	protein_coding
ENSG00000182973	CNOT10	-2.68e-01	3.12e-01	protein_coding
ENSG00000187676	B3GLCT	 2.34e-01	5.98e-01	protein_coding
ENSG00000103351	CLUAP1	-5.62e-02	9.14e-01	protein_coding
ENSG00000120925	RNF170	-2.10e-01	5.59e-01	protein_coding
ENSG00000160360	GPSM1	-5.55e-02	8.88e-01	protein_coding
ENSG00000233426	EIF3FP3	 1.38e-01	7.98e-01	processed_pseudogene
ENSG00000091947	TMEM101	-1.48e-01	5.20e-01	protein_coding
ENSG00000166444	ST5	 2.97e-01	1.55e-01	protein_coding
ENSG00000100325	ASCC2	 2.58e-01	1.71e-01	protein_coding
ENSG00000218537	MIF-AS1	 3.18e-01	3.96e-01	lncRNA
ENSG00000162302	RPS6KA4	-1.93e-01	4.03e-01	protein_coding
ENSG00000168172	HOOK3	-2.49e-02	9.72e-01	protein_coding
ENSG00000058063	ATP11B	 2.61e-01	5.75e-01	protein_coding
ENSG00000167881	SRP68	 1.93e-01	3.01e-01	protein_coding
ENSG00000164051	CCDC51	-5.67e-01	1.77e-06	protein_coding
ENSG00000119673	ACOT2	-4.90e-01	1.04e-04	protein_coding
ENSG00000134339	SAA2	 1.06e-01	8.54e-01	protein_coding
ENSG00000186377	CYP4X1	 4.26e-02	9.49e-01	protein_coding
ENSG00000111639	MRPL51	-2.85e-02	9.40e-01	protein_coding
ENSG00000137807	KIF23	 3.64e-01	1.49e-01	protein_coding
ENSG00000142166	IFNAR1	 4.03e-01	3.16e-01	protein_coding
ENSG00000092068	SLC7A8	 8.01e-01	3.08e-03	protein_coding
ENSG00000213221	DNLZ	-4.26e-01	2.69e-02	protein_coding
ENSG00000244380	AC134772.1	-1.09e-01	8.38e-01	lncRNA
ENSG00000232112	TMA7	 2.11e-01	3.00e-01	protein_coding
ENSG00000182473	EXOC7	 1.78e-01	5.51e-01	protein_coding
ENSG00000159842	ABR	 3.76e-01	1.20e-01	protein_coding
ENSG00000044574	HSPA5	 3.69e-01	1.90e-02	protein_coding
ENSG00000140497	SCAMP2	 7.55e-03	9.85e-01	protein_coding
ENSG00000197006	METTL9	-2.97e-01	1.99e-01	protein_coding
ENSG00000010292	NCAPD2	 2.36e-01	2.34e-01	protein_coding
ENSG00000221821	C6orf226	 5.83e-02	8.86e-01	protein_coding
ENSG00000172340	SUCLG2	-9.33e-02	7.73e-01	protein_coding
ENSG00000136888	ATP6V1G1	-2.18e-01	4.59e-01	protein_coding
ENSG00000080503	SMARCA2	 1.05e-01	7.58e-01	protein_coding
ENSG00000247596	TWF2	-4.86e-01	3.46e-03	protein_coding
ENSG00000131507	NDFIP1	 1.36e-01	5.03e-01	protein_coding
ENSG00000136381	IREB2	-7.05e-02	8.69e-01	protein_coding
ENSG00000165185	KIAA1958	-2.16e-01	4.32e-01	protein_coding
ENSG00000137161	CNPY3	-1.33e-01	4.52e-01	protein_coding
ENSG00000137819	PAQR5	 3.24e-01	3.58e-01	protein_coding
ENSG00000249082	C5orf66-AS1	-1.00e-01	8.60e-01	lncRNA
ENSG00000259426	AC027237.3	-5.16e-02	9.23e-01	lncRNA
ENSG00000181751	C5orf30	 2.35e-01	5.93e-01	protein_coding
ENSG00000119471	HSDL2	 1.28e-01	7.47e-01	protein_coding
ENSG00000224186	C5orf66	 3.96e-01	3.03e-01	lncRNA
ENSG00000124191	TOX2	 5.32e-01	7.93e-02	protein_coding
ENSG00000227766	AL671277.1	 3.67e-02	9.57e-01	unprocessed_pseudogene
ENSG00000133460	SLC2A11	-1.96e-01	5.35e-01	protein_coding
ENSG00000133895	MEN1	 4.01e-01	2.09e-03	protein_coding
ENSG00000157693	TMEM268	-7.95e-02	8.50e-01	protein_coding
ENSG00000144560	VGLL4	 1.86e-01	4.96e-01	protein_coding
ENSG00000126217	MCF2L	-2.75e-01	2.22e-01	protein_coding
ENSG00000124587	PEX6	-1.26e-01	7.09e-01	protein_coding
ENSG00000149577	SIDT2	 5.57e-01	3.02e-03	protein_coding
ENSG00000081177	EXD2	-2.70e-01	3.91e-01	protein_coding
ENSG00000166441	RPL27A	 2.62e-01	7.09e-02	protein_coding
ENSG00000112659	CUL9	 1.52e-01	6.79e-01	protein_coding
ENSG00000178821	TMEM52	 4.51e-01	1.18e-01	protein_coding
ENSG00000228065	LINC01515	 6.56e-02	8.69e-01	lncRNA
ENSG00000067369	TP53BP1	-1.42e-01	6.99e-01	protein_coding
ENSG00000261441	AC124068.2	 3.09e-01	4.66e-01	lncRNA
ENSG00000107779	BMPR1A	 7.52e-01	1.16e-02	protein_coding
ENSG00000112874	NUDT12	-1.54e-01	7.69e-01	protein_coding
ENSG00000122390	NAA60	 2.58e-01	1.69e-01	protein_coding
ENSG00000166436	TRIM66	 8.81e-02	8.69e-01	protein_coding
ENSG00000173465	SSSCA1	-1.81e-01	3.91e-01	protein_coding
ENSG00000051180	RAD51	-1.15e-01	7.34e-01	protein_coding
ENSG00000137822	TUBGCP4	-1.26e-01	6.79e-01	protein_coding
ENSG00000176155	CCDC57	-6.43e-02	8.34e-01	protein_coding
ENSG00000176973	FAM89B	-2.82e-01	1.41e-01	protein_coding
ENSG00000240972	MIF	 6.86e-02	8.26e-01	protein_coding
ENSG00000118412	CASP8AP2	 2.35e-02	9.72e-01	protein_coding
ENSG00000074370	ATP2A3	-3.12e-01	4.52e-01	protein_coding
ENSG00000182240	BACE2	 4.19e-02	8.36e-01	protein_coding
ENSG00000180530	NRIP1	-1.84e-01	7.17e-01	protein_coding
ENSG00000149591	TAGLN	-4.33e-01	9.75e-02	protein_coding
ENSG00000113648	H2AFY	-1.52e-01	3.26e-01	protein_coding
ENSG00000105197	TIMM50	-2.75e-01	7.33e-02	protein_coding
ENSG00000214176	PLEKHM1P1	-1.34e-01	7.25e-01	transcribed_unprocessed_pseudogene
ENSG00000197548	ATG7	-5.18e-02	8.67e-01	protein_coding
ENSG00000181026	AEN	-1.04e-02	9.72e-01	protein_coding
ENSG00000010270	STARD3NL	-6.13e-02	8.33e-01	protein_coding
ENSG00000130005	GAMT	-2.34e-01	2.45e-01	protein_coding
ENSG00000131018	SYNE1	-2.44e-02	9.68e-01	protein_coding
ENSG00000108582	CPD	 7.19e-02	8.97e-01	protein_coding
ENSG00000245849	RAD51-AS1	 3.62e-01	3.81e-01	lncRNA
ENSG00000185624	P4HB	 2.20e-01	1.28e-01	protein_coding
ENSG00000206503	HLA-A	-1.27e-01	6.29e-01	protein_coding
ENSG00000103343	ZNF174	 1.07e-01	7.82e-01	protein_coding
ENSG00000116786	PLEKHM2	 2.41e-01	1.76e-01	protein_coding
ENSG00000125650	PSPN	-1.60e-01	7.64e-01	protein_coding
ENSG00000140265	ZSCAN29	-8.67e-02	8.59e-01	protein_coding
ENSG00000164002	EXO5	-5.64e-01	8.13e-02	protein_coding
ENSG00000165996	HACD1	-2.18e-01	3.45e-01	protein_coding
ENSG00000140987	ZSCAN32	-2.25e-01	5.90e-01	protein_coding
ENSG00000116062	MSH6	-4.87e-01	3.53e-03	protein_coding
ENSG00000125652	ALKBH7	-4.21e-01	1.17e-02	protein_coding
ENSG00000164244	PRRC1	 1.13e-01	7.63e-01	protein_coding
ENSG00000160613	PCSK7	-6.27e-03	9.89e-01	protein_coding
ENSG00000164144	ARFIP1	 5.25e-02	9.34e-01	protein_coding
ENSG00000069011	PITX1	-2.57e-02	9.28e-01	protein_coding
ENSG00000148344	PTGES	-1.85e-01	4.53e-01	protein_coding
ENSG00000134440	NARS	-5.95e-01	5.24e-02	protein_coding
ENSG00000109534	GAR1	-3.96e-01	1.73e-01	protein_coding
ENSG00000129473	BCL2L2	-2.04e-01	4.67e-01	protein_coding
ENSG00000106070	GRB10	-1.14e-01	7.64e-01	protein_coding
ENSG00000215271	HOMEZ	 4.56e-01	6.01e-02	protein_coding
ENSG00000215252	GOLGA8B	-3.32e-01	3.85e-01	protein_coding
ENSG00000205189	ZBTB10	-4.34e-02	9.37e-01	protein_coding
ENSG00000175595	ERCC4	 1.75e-01	7.09e-01	protein_coding
ENSG00000126581	BECN1	-1.16e-01	6.54e-01	protein_coding
ENSG00000133818	RRAS2	 4.35e-02	9.19e-01	protein_coding
ENSG00000149658	YTHDF1	 3.95e-01	9.40e-02	protein_coding
ENSG00000182175	RGMA	 2.88e-01	5.17e-01	protein_coding
ENSG00000186184	POLR1D	 4.91e-02	8.48e-01	protein_coding
ENSG00000196204	RNF216P1	 2.51e-01	3.06e-01	lncRNA
ENSG00000235194	PPP1R3E	 3.56e-01	2.88e-01	protein_coding
ENSG00000112425	EPM2A	-1.01e-01	8.49e-01	protein_coding
ENSG00000163512	AZI2	 1.76e-01	6.75e-01	protein_coding
ENSG00000155324	GRAMD2B	-1.49e-02	9.77e-01	protein_coding
ENSG00000206341	HLA-H	-7.56e-02	8.96e-01	unprocessed_pseudogene
ENSG00000187134	AKR1C1	-2.21e-01	3.25e-01	protein_coding
ENSG00000131242	RAB11FIP4	 1.93e-01	6.96e-01	protein_coding
ENSG00000213888	LINC01521	 3.76e-01	3.12e-01	lncRNA
ENSG00000066379	ZNRD1	-2.07e-01	3.14e-01	protein_coding
ENSG00000131467	PSME3	 2.09e-01	1.77e-01	protein_coding
ENSG00000137460	FHDC1	 6.77e-01	2.61e-03	protein_coding
ENSG00000048392	RRM2B	-2.54e-01	5.49e-01	protein_coding
ENSG00000105281	SLC1A5	 3.13e-01	7.95e-02	protein_coding
ENSG00000079313	REXO1	 3.39e-01	2.91e-01	protein_coding
ENSG00000168116	KIAA1586	 1.89e-01	6.92e-01	protein_coding
ENSG00000138081	FBXO11	 5.91e-01	1.43e-02	protein_coding
