treatment	value	tissue	analyte
ASOD	1.16468158	Cortex	Cd68
ASOB	1.123753023	Cortex	Cd68
ASOG	1.516295173	Cortex	Cd68
ASOE	1.323232317	Cortex	Cd68
ASOI	1.4292297429999998	Cortex	Cd68
ASO5	1.623442538	Cortex	Cd68
ASO6	1.8561758119999998	Cortex	Cd68
ASO2	1.4480587070000002	Cortex	Cd68
ASO3	1.516891956	Cortex	Cd68
ASO1	1.297913982	Cortex	Cd68
ASO7	1.268952601	Cortex	Cd68
ASO8	1.4172340159999999	Cortex	Cd68
ASO4	1.161873856	Cortex	Cd68
PBS	1.016441126	Cortex	Cd68
otherASO1	1.095345561	Cortex	Cd68
otherASO2	1.3365037419999999	Cortex	Cd68
ASOF	1.409907165	Cortex	Cd68
ASOA	1.3904675549999999	Cortex	Cd68
ASOC	1.32977267	Cortex	Cd68
ASOD	1.0683482069999999	Cortex	Cd68
ASOB	1.0586554030000002	Cortex	Cd68
ASOG	1.243518388	Cortex	Cd68
ASOE	1.204593386	Cortex	Cd68
ASOI	1.181803933	Cortex	Cd68
ASO5	1.497684246	Cortex	Cd68
ASO6	1.768443831	Cortex	Cd68
ASO2	1.604231389	Cortex	Cd68
ASO3	1.5964666840000001	Cortex	Cd68
ASO1	1.3409035040000001	Cortex	Cd68
ASO7	1.330135774	Cortex	Cd68
ASO8	1.4140618839999999	Cortex	Cd68
ASO4	1.248432225	Cortex	Cd68
PBS	1.008456008	Cortex	Cd68
otherASO1	1.041347059	Cortex	Cd68
otherASO2	1.3609455879999999	Cortex	Cd68
ASOF	1.3465947589999998	Cortex	Cd68
ASOA	1.3392821240000001	Cortex	Cd68
ASOC	1.286949124	Cortex	Cd68
ASOD	1.291659306	Cortex	Cd68
ASOB	1.246798258	Cortex	Cd68
ASOG	1.182336329	Cortex	Cd68
ASOE	1.134699493	Cortex	Cd68
ASOI	1.3511998639999998	Cortex	Cd68
ASO5	1.5988169780000001	Cortex	Cd68
ASO6	1.156189674	Cortex	Cd68
ASO2	1.5693733280000002	Cortex	Cd68
ASO3	1.293530703	Cortex	Cd68
ASO1	1.435036374	Cortex	Cd68
ASO7	1.173587441	Cortex	Cd68
ASO8	1.4768134130000001	Cortex	Cd68
ASO4	1.230331063	Cortex	Cd68
PBS	1.094043989	Cortex	Cd68
otherASO1	1.28716026	Cortex	Cd68
otherASO2	1.380553113	Cortex	Cd68
ASOF	1.5526264140000001	Cortex	Cd68
ASOA	1.3514705280000001	Cortex	Cd68
ASOC	1.33680755	Cortex	Cd68
ASOD	1.2641063909999999	Cortex	Cd68
ASOB	1.277614431	Cortex	Cd68
ASOG	1.1525816089999998	Cortex	Cd68
ASOE	1.25155398	Cortex	Cd68
ASOI	1.477850469	Cortex	Cd68
ASO5	1.339740459	Cortex	Cd68
ASO6	1.45220108	Cortex	Cd68
ASO2	1.198906978	Cortex	Cd68
ASO3	1.2221354340000001	Cortex	Cd68
ASO1	1.3062497400000002	Cortex	Cd68
ASO7	1.2775758449999999	Cortex	Cd68
ASO8	1.379928688	Cortex	Cd68
ASO4	1.293169045	Cortex	Cd68
PBS	0.99	Tsc	Aif1
otherASO1	1.067	Tsc	Aif1
otherASO2	1.3090000000000002	Tsc	Aif1
ASOF	1.163	Tsc	Aif1
ASOA	1.068	Tsc	Aif1
ASOC	1.656	Tsc	Aif1
ASOD	1.76	Tsc	Aif1
ASOB	1.069	Tsc	Aif1
ASOG	1.294	Tsc	Aif1
ASOE	1.12	Tsc	Aif1
ASOI	1.235	Tsc	Aif1
ASO5	1.393	Tsc	Aif1
ASO6	1.253	Tsc	Aif1
ASO2	0.9329999999999999	Tsc	Aif1
