GeneID	Enrichment	Cluster	Expressed_4wpi_main	log2FC_4wpi_main	Pval_4wpi_main	FDR_4wpi_main	Expressed_8wpi_main	log2FC_8wpi_main	Pval_8wpi_main	FDR_8wpi_main	Expressed_12wpi_main	log2FC_12wpi_main	Pval_12wpi_main	FDR_12wpi_main	Expressed_14wpi_main	log2FC_14wpi_main	Pval_14wpi_main	FDR_14wpi_main	Expressed_16wpi_main	log2FC_16wpi_main	Pval_16wpi_main	FDR_16wpi_main	Expressed_18wpi_main	log2FC_18wpi_main	Pval_18wpi_main	FDR_18wpi_main	Expressed_20wpi_main	log2FC_20wpi_main	Pval_20wpi_main	FDR_20wpi_main	Expressed_term_main	log2FC_term_main	Pval_term_main	FDR_term_main	Expressed_8wpi_val	log2FC_8wpi_val	Pval_8wpi_val	FDR_8wpi_val	Expressed_term_val	log2FC_term_val	Pval_term_val	FDR_term_val	Expressed_8wpi_ko	log2FC_8wpi_ko	Pval_8wpi_ko	FDR_8wpi_ko	Expressed_8wpi_ip	log2FC_8wpi_ip	Pval_8wpi_ip	FDR_8wpi_ip	Expressed_term_ip	log2FC_term_ip	Pval_term_ip	FDR_term_ip	Expressed_8wpi_old	log2FC_8wpi_old	Pval_8wpi_old	FDR_8wpi_old	Expressed_term_young	log2FC_term_young	Pval_term_young	FDR_term_young	Expressed_term_old	log2FC_term_old	Pval_term_old	FDR_term_old	Expressed_8wpi_saline	log2FC_8wpi_saline	Pval_8wpi_saline	FDR_8wpi_saline	Expressed_8wpi_plasma	log2FC_8wpi_plasma	Pval_8wpi_plasma	FDR_8wpi_plasma	Expressed_term_saline	log2FC_term_saline	Pval_term_saline	FDR_term_saline	Expressed_term_plasma	log2FC_term_plasma	Pval_term_plasma	FDR_term_plasma
Adcy5	_NE	3	TRUE	0.3401	0.5724	0.9959	TRUE	-0.5054	1.417e-05	0.0006741	TRUE	0.2173	0.01284	0.1624	TRUE	-0.04498	0.7192	0.9322	TRUE	-0.2069	0.1058	0.4791	TRUE	-0.1874	0.3008	0.9043	TRUE	-0.02677	0.8533	0.9622	TRUE	-0.6749	8.412e-05	0.0009371	TRUE	-0.1339	0.285	0.6036	TRUE	-0.4558	0.0009806	0.00805	TRUE	-0.0384	0.6712	1	TRUE	-0.002735	0.9796	0.9999	TRUE	-0.3595	0.0006576	0.003631	TRUE	-0.2805	0.001372	0.01197	TRUE	-0.389	0.004778	0.01965	TRUE	-0.5126	0.0005138	0.002183	TRUE	-0.007488	0.9551	0.9796	TRUE	-0.01412	0.8309	1	TRUE	0.4083	0.1359	0.3278	TRUE	-0.348	0.02732	0.08537
Adcy6	_NE	NA	TRUE	0.08553	0.6082	0.9959	TRUE	-0.3458	0.005295	0.05168	TRUE	0.03755	0.6654	0.889	TRUE	-0.154	0.1805	0.6963	TRUE	-0.2118	0.0857	0.4478	TRUE	-0.08354	0.612	0.9825	TRUE	0.07193	0.6185	0.8716	TRUE	-0.2736	0.1038	0.2784	TRUE	0.1477	0.2276	0.5448	TRUE	-0.06084	0.6234	0.8058	TRUE	0.1282	0.1767	1	TRUE	0.1202	0.1837	0.9878	TRUE	-0.06805	0.4887	0.6684	TRUE	-0.2496	0.03864	0.1342	TRUE	-0.04455	0.7216	0.8294	TRUE	-0.0986	0.4067	0.5539	TRUE	-0.3529	3.537e-06	0.0003635	TRUE	0.07832	0.25	1	TRUE	0.02963	0.7695	0.8879	TRUE	-0.1006	0.4962	0.6691
Adcy7	MG	1	TRUE	0.1397	0.6476	0.9959	TRUE	-0.1989	0.3645	0.6029	TRUE	-0.04027	0.8575	0.9626	TRUE	-0.335	0.1722	0.6895	TRUE	0.2526	0.4096	0.7576	TRUE	1.069	2.378e-05	0.002092	TRUE	0.9836	0.0001987	0.008682	TRUE	2.5	3.009e-16	2.11e-14	TRUE	0.06724	0.7532	0.9019	TRUE	1.684	6.896e-09	1.861e-07	TRUE	0.08049	0.7771	1	TRUE	0.03743	0.862	0.9999	TRUE	2.485	2.783e-51	3.556e-49	TRUE	0.0002334	0.9992	0.9994	TRUE	2.57	8.253e-35	1.146e-32	TRUE	2.854	7.993e-71	1.108e-68	TRUE	-0.1854	0.2754	0.5099	TRUE	-0.05394	0.7452	1	TRUE	2.229	6.002e-18	4.287e-16	TRUE	2.055	1.779e-11	5.011e-10
Adcy8	_NE	3	TRUE	0.1261	0.5717	0.9959	TRUE	-0.4031	0.01036	0.07821	TRUE	-0.3053	0.05369	0.3478	TRUE	-0.2135	0.2614	0.7401	TRUE	-0.2272	0.1945	0.5957	TRUE	-0.2202	0.319	0.9136	TRUE	0.106	0.536	0.8337	TRUE	-0.7114	0.00413	0.02447	TRUE	-0.4256	0.006677	0.08025	TRUE	-0.3132	0.1057	0.2863	TRUE	0.03009	0.8232	1	TRUE	-0.2653	0.1649	0.9742	TRUE	-0.7187	1.1e-07	1.255e-06	TRUE	0.06023	0.6481	0.8045	TRUE	-0.5574	0.001061	0.005578	TRUE	-0.4744	0.008316	0.02461	TRUE	-0.4588	0.002559	0.03274	TRUE	0.1532	0.248	1	TRUE	-0.3993	0.02217	0.09258	TRUE	-0.6038	0.003255	0.01577
Adcy9	_NE	NA	TRUE	-0.3159	0.04105	0.9959	TRUE	-0.1443	0.2559	0.4972	TRUE	0.1143	0.2197	0.6151	TRUE	0.2142	0.05241	0.5271	TRUE	0.02768	0.8278	0.9453	TRUE	-0.2254	0.2109	0.8549	TRUE	-0.1875	0.2232	0.6214	TRUE	-0.405	0.01156	0.05545	TRUE	0.01113	0.9338	0.9766	TRUE	-0.1464	0.2374	0.4753	TRUE	-0.1327	0.2959	1	TRUE	-0.1356	0.1567	0.9616	TRUE	-0.09422	0.3227	0.5129	TRUE	-0.2401	0.01252	0.06134	TRUE	-0.1845	0.2971	0.471	TRUE	-0.6313	5.229e-06	3.436e-05	TRUE	-0.01203	0.9023	0.9558	TRUE	-0.114	0.2427	1	TRUE	-0.1957	0.2322	0.4611	TRUE	-0.183	0.1831	0.3452
Adcyap1	N	NA	TRUE	0.4314	0.4159	0.9959	TRUE	0.5538	0.09544	0.2837	TRUE	0.2257	0.5459	0.8408	TRUE	-0.4699	0.142	0.6596	TRUE	-0.01526	0.9686	0.9902	TRUE	0.1134	0.7644	0.9896	TRUE	0.5901	0.123	0.4918	TRUE	-0.8199	0.09651	0.2655	TRUE	-0.4693	0.09651	0.3592	TRUE	-0.3088	0.3533	0.5955	TRUE	0.4959	0.1491	1	TRUE	0.3969	0.1839	0.9878	TRUE	-0.4073	0.1883	0.353	TRUE	-0.3802	0.08543	0.2291	TRUE	-0.564	0.07093	0.1666	TRUE	-0.2218	0.5621	0.6954	TRUE	-1.105	0.003269	0.03812	TRUE	0.1319	0.6953	1	TRUE	0.08135	0.8023	0.9071	TRUE	-0.5295	0.1505	0.3012
Adcyap1r1	AS	NA	TRUE	-0.05268	0.7906	0.9959	TRUE	0.06937	0.5472	0.744	TRUE	0.07953	0.4124	0.7649	TRUE	-0.07569	0.5156	0.8667	TRUE	0.1189	0.3623	0.7259	TRUE	0.1855	0.271	0.8914	TRUE	0.01144	0.9368	0.9834	TRUE	-0.2857	0.09323	0.2588	TRUE	-0.1163	0.408	0.7032	TRUE	-0.3219	0.01305	0.06511	TRUE	-0.03598	0.7313	1	TRUE	0.05228	0.6128	0.9999	TRUE	-0.1708	0.1402	0.2847	TRUE	0.1313	0.176	0.3669	TRUE	-0.239	0.06162	0.1493	TRUE	-0.3781	0.003884	0.01284	TRUE	-0.1302	0.1511	0.367	TRUE	-0.004413	0.9491	1	TRUE	-0.09425	0.3959	0.6207	TRUE	-0.4232	0.001022	0.00618
Add1	_NE	NA	TRUE	-0.03295	0.8736	0.9983	TRUE	-0.06648	0.5524	0.7471	TRUE	0.1006	0.3406	0.7169	TRUE	0.1806	0.1683	0.6856	TRUE	0.06375	0.6371	0.8715	TRUE	-0.03851	0.8311	0.9923	TRUE	0.03283	0.8226	0.9509	TRUE	-0.1048	0.5325	0.7482	TRUE	-0.1391	0.2608	0.5811	TRUE	-0.1479	0.2416	0.4797	TRUE	-0.03496	0.7518	1	TRUE	-0.007454	0.9478	0.9999	TRUE	-0.1614	0.1666	0.3226	TRUE	-0.152	0.0746	0.2093	TRUE	-0.0644	0.6093	0.7521	TRUE	-0.2085	0.07044	0.1458	TRUE	0.09776	0.2028	0.4306	TRUE	-0.06552	0.3888	1	TRUE	-0.07263	0.5259	0.7269	TRUE	-0.08871	0.4584	0.6366
Add2	_NE	3	TRUE	-0.35	0.07495	0.9959	TRUE	-0.1884	0.1128	0.3138	TRUE	0.1697	0.09099	0.4381	TRUE	-0.0006084	0.9962	0.9993	TRUE	-0.1759	0.1985	0.5976	TRUE	-0.296	0.117	0.7451	TRUE	-0.05442	0.7245	0.9188	TRUE	-0.6595	0.0003141	0.002886	TRUE	0.1065	0.5762	0.8098	TRUE	-0.4042	0.01455	0.07081	TRUE	-0.04416	0.6851	1	TRUE	-0.2092	0.02419	0.5365	TRUE	-0.364	0.0008052	0.004331	TRUE	-0.2192	0.02163	0.08894	TRUE	-0.3835	0.02689	0.07865	TRUE	-1.006	1.239e-18	2.553e-17	TRUE	-0.1805	0.03645	0.1614	TRUE	-0.1303	0.1105	1	TRUE	-0.5072	5.543e-05	0.0006555	TRUE	-0.4595	0.006884	0.02897
Add3	_NE	1	TRUE	-0.1616	0.3053	0.9959	TRUE	0.003181	0.9785	0.9914	TRUE	-0.01724	0.8449	0.9579	TRUE	-0.1315	0.2497	0.7324	TRUE	0.1242	0.3322	0.707	TRUE	0.2706	0.1285	0.7646	TRUE	0.1429	0.3765	0.7431	TRUE	1.091	7.946e-10	2.377e-08	TRUE	0.04289	0.7351	0.8942	TRUE	1.035	5.414e-08	1.279e-06	TRUE	-0.03298	0.7639	1	TRUE	-0.02355	0.7927	0.9999	TRUE	1.138	8.336e-18	2.32e-16	TRUE	-0.001078	0.9896	0.9954	TRUE	1.174	1.033e-16	3.43e-15	TRUE	1.151	3.117e-20	7.149e-19	TRUE	0.1443	0.06346	0.2244	TRUE	0.0302	0.6419	1	TRUE	0.649	1.25e-06	2.087e-05	TRUE	0.8038	2.836e-08	5.082e-07
Adh1	EC	4	TRUE	-0.772	0.1976	0.9959	TRUE	-2.152	0.001125	0.01757	TRUE	-1.411	0.01082	0.1515	TRUE	-1.957	0.002874	0.1768	TRUE	-0.798	0.2173	0.616	FALSE	-0.1063	0.867	NA	FALSE	-1.269	0.07503	NA	FALSE	1.566	0.05766	NA	FALSE	2.772	1.081e-07	NA	FALSE	0.6254	0.4231	NA	FALSE	-1.524	0.09106	NA	TRUE	0.1877	0.7647	0.9999	FALSE	-0.006509	0.9929	NA	FALSE	-0.2618	0.7651	NA	TRUE	1.01	0.05695	0.1403	FALSE	-0.1634	0.7783	NA	FALSE	0.1348	0.7698	NA	TRUE	0.377	0.3859	1	TRUE	-1.254	0.01036	0.05326	FALSE	-0.2719	0.6453	NA
Adh4	_NE	NA	FALSE	-3.326	0.05832	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	-1.882	0.25	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	-1.865	0.2589	NA	FALSE	1.868	0.2597	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	1.458e-15	1	NA	FALSE	-1.888e-15	1	NA	FALSE	1.65e-15	1	NA	FALSE	-1.23e-16	1	NA
Adh5	_NE	NA	TRUE	-0.1074	0.4673	0.9959	TRUE	0.09366	0.3995	0.6343	TRUE	0.02332	0.8092	0.9443	TRUE	-0.0729	0.5752	0.8856	TRUE	0.1689	0.2044	0.6015	TRUE	0.04247	0.8076	0.9896	TRUE	0.02572	0.8641	0.9644	TRUE	0.3217	0.05381	0.1761	TRUE	-0.009525	0.9344	0.9766	TRUE	0.4011	0.002759	0.01903	TRUE	-0.1581	0.1641	1	TRUE	0.04288	0.6696	0.9999	TRUE	0.2888	0.004147	0.01782	TRUE	0.07293	0.4804	0.6799	TRUE	0.2112	0.1038	0.2224	TRUE	0.322	0.004685	0.01506	TRUE	0.1395	0.06816	0.2348	TRUE	0.01619	0.8124	1	TRUE	0.2297	0.02029	0.087	TRUE	0.2744	0.05422	0.1427
Adh6-ps1	_NE	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	1.458e-15	1	NA	FALSE	-1.888e-15	1	NA	FALSE	1.65e-15	1	NA	FALSE	-1.23e-16	1	NA
Adh6a	_NE	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	1.458e-15	1	NA	FALSE	-1.888e-15	1	NA	FALSE	1.65e-15	1	NA	FALSE	-1.23e-16	1	NA
Adh7	_NE	NA	FALSE	-3.261	0.06227	NA	FALSE	0.2425	0.8873	NA	FALSE	-3.95	0.02047	NA	FALSE	-0.7112	0.631	NA	FALSE	4.589	0.006074	NA	FALSE	-0.8566	0.5868	NA	FALSE	0.8351	0.498	NA	FALSE	1.569	0.2842	NA	FALSE	1.774	0.2773	NA	FALSE	0	1	NA	FALSE	-2.666	0.1164	NA	FALSE	-0.09833	0.944	NA	FALSE	-0.4213	0.7719	NA	FALSE	0.1781	0.9018	NA	FALSE	-0.6076	0.6149	NA	FALSE	0.9777	0.5139	NA	FALSE	1.047	0.4389	NA	FALSE	0.534	0.694	NA	FALSE	1.509	0.1421	NA	FALSE	1.921	0.04179	NA
Adhfe1	AS	NA	TRUE	-0.02582	0.8944	0.9991	TRUE	0.07587	0.5971	0.7788	TRUE	-0.003091	0.9824	0.9968	TRUE	-0.2683	0.1165	0.633	TRUE	0.09115	0.5731	0.8444	TRUE	0.2331	0.3083	0.9086	TRUE	0.124	0.5177	0.824	TRUE	0.2653	0.2501	0.4899	TRUE	-0.0943	0.5547	0.7994	TRUE	0.04462	0.7993	0.9022	TRUE	0.06871	0.6307	1	TRUE	0.05545	0.6813	0.9999	TRUE	0.01489	0.9001	0.9492	TRUE	0.06436	0.6437	0.8013	TRUE	0.2753	0.0678	0.1609	TRUE	0.2902	0.03851	0.08945	TRUE	0.09677	0.3425	0.5736	TRUE	0.09804	0.2559	1	TRUE	0.2105	0.112	0.2887	TRUE	0.09909	0.5435	0.7062
Adi1	OL	NA	TRUE	0.2351	0.258	0.9959	TRUE	0.3416	0.006763	0.05969	TRUE	-0.1855	0.1865	0.5818	TRUE	0.03884	0.7927	0.9547	TRUE	0.1965	0.2153	0.6136	TRUE	0.3115	0.1434	0.7822	TRUE	-0.09782	0.5698	0.8489	TRUE	0.3373	0.06827	0.2089	TRUE	0.2449	0.06633	0.298	TRUE	-0.02124	0.887	0.9471	TRUE	-0.13	0.3472	1	TRUE	0.2417	0.04871	0.7189	TRUE	0.1736	0.1441	0.2905	TRUE	0.1425	0.2497	0.4578	TRUE	0.2131	0.1774	0.3286	TRUE	0.3996	0.001845	0.00673	TRUE	0.2974	0.001304	0.02094	TRUE	0.02897	0.7318	1	TRUE	0.164	0.1908	0.4074	TRUE	0.02027	0.8959	0.9466
Adig	_NE	NA	FALSE	0	1	NA	FALSE	0.8029	0.5997	NA	FALSE	0.2067	0.8834	NA	FALSE	1.576	0.1972	NA	FALSE	-1.942	0.2453	NA	FALSE	-0.008428	0.9927	NA	FALSE	-0.315	0.7747	NA	FALSE	0	1	NA	FALSE	2.568	0.1258	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	-1.903	0.2413	NA	FALSE	-1.434	0.3128	NA	FALSE	0.5854	0.6787	NA	FALSE	1.978	0.2228	NA	FALSE	0	1	NA	FALSE	1.3	0.2834	NA	FALSE	-0.0533	0.9701	NA	FALSE	-2.347	0.09198	NA	FALSE	-1.452	0.2493	NA
Adipoq	_NE	NA	FALSE	-3.182	0.06727	NA	FALSE	0.3117	0.8212	NA	FALSE	-3.037	0.08184	NA	FALSE	1.127	0.3832	NA	FALSE	2.284	0.04588	NA	FALSE	0.718	0.646	NA	FALSE	1.674	0.2158	NA	FALSE	3.323	0.04466	NA	FALSE	0	1	NA	FALSE	-2.429	0.1597	NA	FALSE	2.699	0.1054	NA	FALSE	-1.394	0.3266	NA	FALSE	-0.009201	0.9924	NA	FALSE	1.113	0.4452	NA	FALSE	1.87	0.1593	NA	FALSE	1.095	0.3048	NA	FALSE	1.101	0.415	NA	FALSE	1.136	0.2879	NA	FALSE	1.467	0.2199	NA	FALSE	-0.6591	0.4352	NA
Adipor1	_NE	1	TRUE	0.01955	0.8895	0.9988	TRUE	-0.0768	0.4541	0.6767	TRUE	0.03808	0.6808	0.8959	TRUE	0.08893	0.4488	0.8431	TRUE	0.0164	0.8979	0.9697	TRUE	0.1662	0.3053	0.9067	TRUE	0.2915	0.03569	0.2747	TRUE	0.6199	6.15e-05	0.0007116	TRUE	0.1247	0.286	0.6039	TRUE	0.3405	0.005013	0.03066	TRUE	-0.07068	0.4626	1	TRUE	0.06381	0.5108	0.9999	TRUE	0.5622	5.841e-10	8.697e-09	TRUE	-0.1695	0.07966	0.2188	TRUE	0.6041	4.7e-07	5.191e-06	TRUE	0.6862	2.734e-09	2.822e-08	TRUE	0.04548	0.5899	0.7753	TRUE	-0.07396	0.2644	1	TRUE	0.3716	0.0002993	0.002877	TRUE	0.5011	0.0001582	0.001249
Adipor2	_NE	3	TRUE	0.1579	0.4328	0.9959	TRUE	0.5605	1.479e-05	0.0006973	TRUE	-0.1482	0.3991	0.7567	TRUE	0.1748	0.202	0.7081	TRUE	0.1743	0.2563	0.6492	TRUE	0.15	0.4143	0.9534	TRUE	-0.2029	0.1691	0.5586	TRUE	0.2897	0.07813	0.2286	TRUE	0.7198	4.664e-08	3.723e-06	TRUE	0.1828	0.2007	0.4312	TRUE	-0.2001	0.1364	1	TRUE	0.108	0.3723	0.9999	TRUE	0.5136	2.385e-05	0.0001867	TRUE	0.3057	0.00163	0.01373	TRUE	0.2572	0.0503	0.1278	TRUE	0.2688	0.05398	0.118	TRUE	0.2274	0.07638	0.2505	TRUE	-0.06564	0.5246	1	TRUE	0.1029	0.3905	0.6159	TRUE	-0.05255	0.7393	0.8502
Adk	_NE	1	TRUE	-0.07249	0.6256	0.9959	TRUE	0.1971	0.0754	0.2502	TRUE	0.02224	0.8173	0.9475	TRUE	-0.005668	0.9653	0.9936	TRUE	0.3279	0.02401	0.2657	TRUE	0.5216	0.002718	0.09114	TRUE	0.338	0.03208	0.2607	TRUE	0.7625	2.566e-06	4.226e-05	TRUE	-0.1054	0.3898	0.6906	TRUE	0.6467	7.336e-07	1.39e-05	TRUE	0.01695	0.8705	1	TRUE	-0.05538	0.6027	0.9999	TRUE	0.6324	3.159e-10	4.83e-09	TRUE	0.07865	0.4449	0.6488	TRUE	0.6219	7.452e-08	9.388e-07	TRUE	0.8516	4.52e-13	6.663e-12	TRUE	0.059	0.455	0.6734	TRUE	0.03196	0.6632	1	TRUE	0.5394	1.402e-06	2.316e-05	TRUE	0.4421	0.001456	0.008299
Adm	EC	NA	TRUE	0.7141	0.09441	0.9959	TRUE	0.02738	0.9454	0.9784	TRUE	-0.494	0.2029	0.6007	TRUE	0.2606	0.4984	0.862	TRUE	-0.3213	0.4377	0.7743	TRUE	-0.5466	0.2335	0.8733	TRUE	0.2343	0.5754	0.8506	TRUE	-0.723	0.0864	0.246	FALSE	-0.1834	0.665	NA	TRUE	0.3093	0.4859	0.7101	TRUE	-0.2064	0.6763	1	TRUE	-0.0422	0.9127	0.9999	TRUE	-0.1119	0.7326	0.848	TRUE	0.09436	0.7879	0.8923	TRUE	-0.1309	0.6981	0.8144	TRUE	0.3406	0.3072	0.4522	TRUE	0.1016	0.7146	0.8546	TRUE	-0.04079	0.8795	1	TRUE	0.3729	0.2619	0.4926	TRUE	0.7735	0.1011	0.2257
Adm2	_NE	NA	FALSE	-1.861	0.2564	NA	FALSE	0.2489	0.8627	NA	FALSE	0.1624	0.9004	NA	FALSE	-0.6024	0.665	NA	FALSE	-0.068	0.9642	NA	FALSE	-1.338	0.3761	NA	FALSE	1.87	0.335	NA	FALSE	3.323	0.04466	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	-2.663	0.1167	NA	FALSE	-0.8922	0.55	NA	FALSE	-0.4905	0.7424	NA	FALSE	0.237	0.833	NA	FALSE	-1.049	0.4713	NA	FALSE	0.1198	0.939	NA	FALSE	-0.1306	0.9186	NA	FALSE	0.08335	0.9406	NA	FALSE	-0.3271	0.7883	NA	FALSE	-0.713	0.4418	NA
Adnp	_NE	NA	TRUE	-0.2266	0.1547	0.9959	TRUE	0.07623	0.4797	0.696	TRUE	-0.1094	0.2246	0.6201	TRUE	-0.03523	0.7474	0.9411	TRUE	0.1438	0.2942	0.6831	TRUE	-0.05787	0.7177	0.986	TRUE	-0.2317	0.1008	0.4498	TRUE	-0.04365	0.7626	0.8896	TRUE	0.01706	0.8931	0.9603	TRUE	0.1254	0.3312	0.5744	TRUE	0.0521	0.5759	1	TRUE	-0.04406	0.641	0.9999	TRUE	-0.111	0.2495	0.4294	TRUE	0.2396	0.01296	0.06274	TRUE	-0.1234	0.2689	0.44	TRUE	-0.1698	0.1311	0.2382	TRUE	0.07474	0.3649	0.5963	TRUE	0.04248	0.5035	1	TRUE	-0.08967	0.405	0.6284	TRUE	-0.1641	0.2076	0.3774
Adnp2	_NE	NA	TRUE	-0.1729	0.3242	0.9959	TRUE	-0.138	0.2335	0.4728	TRUE	-0.1667	0.1339	0.5104	TRUE	0.03251	0.815	0.9611	TRUE	-0.09852	0.4985	0.8063	TRUE	-0.2291	0.2002	0.8429	TRUE	-0.03823	0.8178	0.9494	TRUE	-0.2103	0.2403	0.4789	TRUE	-0.1869	0.1662	0.4703	TRUE	-0.109	0.4586	0.6885	TRUE	-0.0312	0.7964	1	TRUE	0.01556	0.886	0.9999	TRUE	-0.284	0.01551	0.05239	TRUE	-0.07728	0.49	0.6874	TRUE	-0.1781	0.1918	0.347	TRUE	-0.2518	0.0501	0.1113	TRUE	0.09149	0.3377	0.569	TRUE	-0.1126	0.1524	1	TRUE	-0.2565	0.02875	0.1115	TRUE	-0.3621	0.01327	0.04869
Ado	OL	NA	TRUE	0.0999	0.5425	0.9959	TRUE	0.1884	0.07793	0.2552	TRUE	-0.09489	0.3111	0.6961	TRUE	0.0571	0.6416	0.9083	TRUE	0.05485	0.682	0.8886	TRUE	-0.0177	0.9152	0.9959	TRUE	-0.2751	0.08427	0.4169	TRUE	-0.2235	0.192	0.416	TRUE	0.06838	0.5668	0.8046	TRUE	-0.2626	0.05406	0.1819	TRUE	-0.07042	0.4813	1	TRUE	0.007029	0.9481	0.9999	TRUE	-0.239	0.02181	0.06898	TRUE	0.005835	0.9582	0.9823	TRUE	-0.3571	0.00238	0.0111	TRUE	-0.2058	0.07075	0.1463	TRUE	0.3461	6.768e-05	0.002687	TRUE	-0.09042	0.2332	1	TRUE	-0.1852	0.08214	0.2342	TRUE	-0.3041	0.05411	0.1426
Adora1	OL	NA	TRUE	-0.1829	0.3559	0.9959	TRUE	-0.01865	0.8685	0.939	TRUE	0.2285	0.02898	0.2528	TRUE	0.3103	0.02256	0.4225	TRUE	0.1129	0.4025	0.752	TRUE	0.08878	0.611	0.9825	TRUE	0.08895	0.5673	0.8486	TRUE	-0.03571	0.8318	0.925	TRUE	0.01099	0.9341	0.9766	TRUE	-0.05324	0.6839	0.84	TRUE	-0.02719	0.813	1	TRUE	-0.01024	0.9229	0.9999	TRUE	-0.06022	0.5868	0.7469	TRUE	-0.1512	0.09734	0.2498	TRUE	0.007673	0.9528	0.9741	TRUE	-0.1839	0.1435	0.2549	TRUE	0.09741	0.3124	0.5463	TRUE	-0.1046	0.2211	1	TRUE	-0.1664	0.3548	0.5859	TRUE	-0.01001	0.9407	0.9694
Adora2a	EC	NA	TRUE	0.7184	0.5245	0.9959	TRUE	-0.5832	0.04553	0.1858	TRUE	-0.1116	0.7416	0.9192	TRUE	-0.08471	0.8152	0.9611	TRUE	-0.4285	0.2317	0.6312	TRUE	0.4043	0.331	0.919	TRUE	0.02525	0.9563	0.9888	TRUE	-0.1829	0.6435	0.8229	TRUE	-0.1342	0.6863	0.8694	TRUE	-0.6057	0.09007	0.2591	TRUE	0.08533	0.8014	1	TRUE	-0.012	0.9739	0.9999	TRUE	0.1169	0.7248	0.8427	TRUE	-0.8102	0.04768	0.1546	TRUE	0.06516	0.8681	0.9229	TRUE	-0.3095	0.3874	0.5351	TRUE	1.671	0.01119	0.08105	TRUE	0.391	0.1106	1	TRUE	3.237	0.0005176	0.004637	TRUE	0.1054	0.7539	0.8593
Adora2b	AS	1	TRUE	0.3304	0.3369	0.9959	TRUE	0.1108	0.6303	0.8009	TRUE	0.06879	0.7801	0.933	TRUE	-0.05762	0.8442	0.969	TRUE	0.4991	0.1028	0.4738	TRUE	0.3286	0.3349	0.9201	TRUE	0.8881	0.006789	0.1146	TRUE	1.281	0.0002025	0.001984	TRUE	0.3424	0.1732	0.4777	TRUE	1.627	9.402e-09	2.489e-07	TRUE	-0.07086	0.8296	1	TRUE	-0.09922	0.7636	0.9999	TRUE	1.412	2.637e-09	3.646e-08	TRUE	0.0933	0.7377	0.8626	TRUE	1.464	7.618e-11	1.416e-09	TRUE	1.875	7.29e-14	1.135e-12	TRUE	0.1205	0.5989	0.7803	TRUE	-0.2866	0.2242	1	TRUE	0.7866	0.001645	0.01237	TRUE	1.008	0.000259	0.001907
Adora3	MG	1	TRUE	-0.3329	0.4175	0.9959	TRUE	0.06447	0.8439	0.9264	TRUE	0.1347	0.7298	0.9146	TRUE	-0.2051	0.5937	0.8925	TRUE	0.5444	0.2077	0.6047	TRUE	1.263	0.003391	0.1089	TRUE	1.191	0.00686	0.115	TRUE	1.93	2.625e-07	5.197e-06	FALSE	-0.6538	0.1363	NA	TRUE	1.776	7.132e-07	1.355e-05	TRUE	0.5057	0.1881	1	TRUE	0.4287	0.3104	0.9999	TRUE	1.856	2.324e-10	3.596e-09	TRUE	-0.1398	0.7187	0.8528	TRUE	1.675	1.358e-09	2.202e-08	TRUE	2.075	2.085e-14	3.378e-13	TRUE	0.2114	0.4063	0.6333	TRUE	-0.1	0.7186	1	TRUE	1.382	4.748e-06	7.223e-05	TRUE	1.511	2.358e-07	3.6e-06
Adpgk	_NE	NA	TRUE	-0.06621	0.7207	0.9959	TRUE	0.06944	0.6035	0.7837	TRUE	0.04138	0.7708	0.9287	TRUE	-0.006128	0.9702	0.9947	TRUE	0.1305	0.4418	0.7759	TRUE	-0.07691	0.7156	0.986	TRUE	0.04763	0.7975	0.9434	TRUE	0.07319	0.706	0.8579	TRUE	-0.1171	0.4192	0.7101	TRUE	0.1157	0.5013	0.7227	TRUE	0.1032	0.4598	1	TRUE	0.05302	0.7074	0.9999	TRUE	0.0753	0.5681	0.7326	TRUE	0.08619	0.5213	0.7122	TRUE	0.1018	0.4731	0.6419	TRUE	0.09945	0.5046	0.6444	TRUE	0.05069	0.5808	0.7681	TRUE	-0.03121	0.7343	1	TRUE	-0.03235	0.7973	0.9039	TRUE	-0.06172	0.7013	0.8246
