FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000019232,Etnppl,1.2721378887263777,7.219647238625772,0
ENSMUSG00000105352,C030018K13Rik,1.0487726544125724,7.426436464535184,0
ENSMUSG00000110843,Gm35552,1.4060782408722223,7.335107046677688,0
ENSMUSG00000020734,Grin2c,1.7814066835397322,7.12765349358095,0
ENSMUSG00000038094,Atp13a4,1.6701180085950231,7.188370064143726,0
ENSMUSG00000086600,C030005K06Rik,1.1786750988834318,7.304690006297886,0
ENSMUSG00000021318,Gli3,3.5834953332196315,6.925804667892425,1.1410696691803233e-300
ENSMUSG00000024411,Aqp4,3.674692955342464,6.929648894366504,3.316823432118268e-297
ENSMUSG00000036949,Slc39a12,4.278409395529248,6.882562666323799,4.5981745287419586e-296
ENSMUSG00000030495,Slc7a10,2.8494825063497937,6.835742034397662,3.3735542484957185e-290
ENSMUSG00000026697,Myoc,3.6449503183218424,7.021046542819077,7.76719095729309e-286
ENSMUSG00000035104,Eva1a,1.4617225783445769,6.803658441904419,1.1018645114096307e-284
ENSMUSG00000048402,Gli2,1.5176623724760765,6.783482415399936,1.757984134024187e-282
ENSMUSG00000054252,Fgfr3,2.0913407189830946,6.715080587990706,1.0915923709975878e-276
ENSMUSG00000039410,Prdm16,1.8699451957302573,6.6518990311713315,7.371458662143754e-269
ENSMUSG00000032281,Acsbg1,2.612920207927501,6.637376311346026,9.505608929835068e-269
ENSMUSG00000050953,Gja1,4.904383570704975,6.615484317468594,1.4751666753712977e-267
ENSMUSG00000005360,Slc1a3,15.503300304222359,6.590311997259944,4.831862525425278e-266
ENSMUSG00000027168,Pax6,1.4998364873743135,6.5285042631166625,1.7690916045930045e-255
ENSMUSG00000020932,Gfap,1.827596407919439,6.620842240062134,2.2703197960509266e-254
ENSMUSG00000045608,Dbx2,1.7072470620942757,6.498382593778317,7.140934744776906e-253
ENSMUSG00000031639,Tlr3,1.16262195373654,6.485100757569773,7.52596392704646e-250
