treatment	stain	dosed_dpi	region	animal	score	necrosis	autolytic
PBS	Iba1	60	Cortex	2	1	0	0
PBS	Iba1	60	Cortex	3	1	0	0
PBS	Iba1	60	Cortex	4	NA	NA	NA
PBS	Iba1	30	Cortex	1	1	0	0
PBS	Iba1	30	Cortex	2	2	0	0
PBS	Iba1	30	Cortex	3	1	0	0
PBS	Iba1	30	Cortex	4	1	0	0
PBS	Iba1	-14	Cortex	1	2	0	0
PBS	Iba1	-14	Cortex	2	2	0	0
PBS	Iba1	-14	Cortex	3	1	0	0
PBS	Iba1	-14	Cortex	4	2	0	0
PBS	Iba1	123	Hippocampus	1	2	0	0
PBS	Iba1	123	Hippocampus	2	1	0	0
PBS	Iba1	123	Hippocampus	3	2	0	0
PBS	Iba1	123	Hippocampus	4	2	0	0
PBS	Iba1	90	Hippocampus	1	2	0	0
PBS	Iba1	90	Hippocampus	2	1	0	0
PBS	Iba1	90	Hippocampus	3	2	0	0
PBS	Iba1	90	Hippocampus	4	NA	NA	NA
PBS	Iba1	60	Hippocampus	1	1	0	0
PBS	Iba1	60	Hippocampus	2	2	0	0
PBS	Iba1	60	Hippocampus	3	1	0	0
PBS	Iba1	60	Hippocampus	4	NA	NA	NA
PBS	Iba1	30	Hippocampus	1	2	0	0
PBS	Iba1	30	Hippocampus	2	2	0	0
PBS	Iba1	30	Hippocampus	3	2	0	0
PBS	Iba1	30	Hippocampus	4	1	0	0
PBS	Iba1	-14	Hippocampus	1	3	0	0
PBS	Iba1	-14	Hippocampus	2	2	0	0
PBS	Iba1	-14	Hippocampus	3	2	0	0
PBS	Iba1	-14	Hippocampus	4	2	0	0
PBS	Iba1	123	CP	1	0	0	0
PBS	Iba1	123	CP	2	0	0	0
PBS	Iba1	123	CP	3	1	0	0
PBS	Iba1	123	CP	4	1	0	0
PBS	Iba1	90	CP	1	0	0	0
PBS	Iba1	90	CP	2	0	0	0
PBS	Iba1	90	CP	3	0	0	0
PBS	Iba1	90	CP	4	NA	NA	NA
PBS	Iba1	60	CP	1	0	0	0
PBS	Iba1	60	CP	2	1	0	0
PBS	Iba1	60	CP	3	0	0	0
PBS	Iba1	60	CP	4	NA	NA	NA
PBS	Iba1	30	CP	1	0	0	0
PBS	Iba1	30	CP	2	0	0	0
PBS	Iba1	30	CP	3	0	0	0
PBS	Iba1	30	CP	4	0	0	0
PBS	Iba1	-14	CP	1	0	0	0
PBS	Iba1	-14	CP	2	1	0	0
PBS	Iba1	-14	CP	3	1	0	0
PBS	Iba1	-14	CP	4	1	0	0
PBS	Iba1	123	Pallidum	1	1	0	0
PBS	Iba1	123	Pallidum	2	1	0	0
PBS	Iba1	123	Pallidum	3	1	0	0
PBS	Iba1	123	Pallidum	4	1	0	0
PBS	Iba1	90	Pallidum	1	1	0	0
PBS	Iba1	90	Pallidum	2	1	0	0
PBS	Iba1	90	Pallidum	3	0	0	0
PBS	Iba1	90	Pallidum	4	NA	NA	NA
PBS	Iba1	60	Pallidum	1	1	0	0
PBS	Iba1	60	Pallidum	2	0	0	0
PBS	Iba1	60	Pallidum	3	0	0	0
PBS	Iba1	60	Pallidum	4	NA	NA	NA
PBS	Iba1	30	Pallidum	1	1	0	0
PBS	Iba1	30	Pallidum	2	0	0	0
PBS	Iba1	30	Pallidum	3	1	0	0
PBS	Iba1	30	Pallidum	4	1	0	0
PBS	Iba1	-14	Pallidum	1	1	0	0
PBS	Iba1	-14	Pallidum	2	1	0	0
PBS	Iba1	-14	Pallidum	3	1	0	0
PBS	Iba1	-14	Pallidum	4	1	0	0
PBS	Iba1	123	Thalamus	1	2	0	0
PBS	Iba1	123	Thalamus	2	2	0	0
PBS	Iba1	123	Thalamus	3	3	0	0
PBS	Iba1	123	Thalamus	4	2	0	0
PBS	Iba1	90	Thalamus	1	3	0	0
PBS	Iba1	90	Thalamus	2	2	0	0
PBS	Iba1	90	Thalamus	3	2	0	0
PBS	Iba1	90	Thalamus	4	NA	NA	NA
