gene	log2FoldChange	pvalue	padj	baseMean	is_astro	neg_log10p
0610005C13Rik	0.226479715880486	0.4587190711748429	0.8115651680760262	4.18741386607253	FALSE	0.33845320376637517
0610009B22Rik	-0.06031527341732632	0.6478389256670143	0.9024886540039382	25.78812104503489	FALSE	0.18853296078014797
0610009L18Rik	-0.5703040121607446	8.33995533063988e-4	0.0211695033811871	12.715937310281172	FALSE	3.0788362754664056
0610012G03Rik	-0.08688156954997926	0.2049033866595697	0.5987147723935315	90.46247933907944	FALSE	0.6884508634855384
0610030E20Rik	0.12235129669225506	0.342139600289371	0.7333231023267065	23.96061737131278	FALSE	0.4657966563269758
0610038B21Rik	-0.40783180094408594	0.5490354838426087	0.8592805671068187	0.8055419704948287	FALSE	0.26039958644417555
0610040B10Rik	0.5687737031098893	0.01492170393354729	0.15842981333577205	16.71626248303884	FALSE	1.826181581241091
0610040F04Rik	-0.08652268397189455	0.8202446933868278	0.958780437134086	2.7781842500330822	FALSE	0.08605657062222342
0610040J01Rik	-0.00318291864103449	0.988709233824382	0.9976524229948172	8.057169596952916	FALSE	0.00493140983065956
1110002E22Rik	0.47076045405277417	0.22356340806808367	0.6237849509959563	2.5108605866548404	FALSE	0.6505992784894791
1110002L01Rik	0.4014923610875079	0.40051051204748184	0.7733807359386291	1.8687353850531288	FALSE	0.39738608066762826
1110004F10Rik	0.11871616534453434	0.06582174402857627	0.35905043841630074	108.8305639444566	FALSE	1.1816306147193656
1110006O24Rik	-0.1303763002046164	0.7028889530741526	0.9222603861819146	3.7311418109374785	FALSE	0.15311328220142592
1110013H19Rik	-0.4988777456557266	0.17522543150981534	0.5599552236487804	2.6907750781632664	FALSE	0.7564028618503337
1110017D15Rik	0.3645214280544594	0.10772444282584712	0.4548889225817242	7.7878336212379775	FALSE	0.96768574349892
1110018N20Rik	-0.10116886604924166	0.7527155588824687	0.9357054757055134	3.6782938040261417	FALSE	0.12336910686068638
1110019D14Rik	-0.07006437701515328	0.8494396996582166	0.9662050780000964	2.675266477462359	FALSE	0.07086744555914617
1110020A21Rik	0.3992137524436361	0.26894705152583276	0.6683667310086502	3.077145100195005	FALSE	0.570333212538782
1110032A03Rik	0.07531949039151203	0.34289435236021115	0.7338276711624058	75.48668506930957	FALSE	0.46483966787133424
1110032F04Rik	-0.08920677762190667	0.5435039332209932	0.8571612527905494	17.290119291211028	FALSE	0.26479730867061657
1110035H17Rik	0.20716873018962945	0.6865957702551244	0.9161834709765422	1.4768344418309771	FALSE	0.16329887635524035
1110038B12Rik	0.40423165161653635	2.0391009995061025e-4	0.0070274383226881	41.593790249474445	FALSE	3.6905612624799047
1110038F14Rik	-0.01116345305014906	0.891748718537723	0.9778497879794108	60.793490183582385	FALSE	0.04975750607976318
1110046J04Rik	0.3515001255082558	0.2523908741356516	0.6529075323034473	3.84618011344605	FALSE	0.5979263522178412
1110059E24Rik	0.07330342072168498	0.4854435965894168	0.827323905542787	38.18611482448025	FALSE	0.31386122324926513
1110059G10Rik	-0.05971627150820511	0.6988908871943913	0.9203263257510844	14.405538209240898	FALSE	0.1555906222347063
